Reaction,Formula,LB,UB,Subsystem
DM_4CRSOL,1.0 4crsol_c ->,0.0,1000.0,
DM_5DRIB,1.0 5drib_c ->,0.0,1000.0,
DM_AMOB,1.0 amob_c ->,0.0,1000.0,
DM_MTHTHF,1.0 mththf_c ->,0.0,1000.0,
Ec_biomass_iJO1366_WT_53p95M,0.000223 pydx5p_c + 2.4e-05 cobalt2_c + 0.004952 cl_c + 0.007428 fe3_c + 7e-06 mococdp_c + 0.000223 hemeO_c + 0.000223 ribflv_c + 0.006744 spmd_c + 0.149336 met_DASH_L_c + 0.024805 datp_c + 0.000605 murein3px4p_p + 0.000223 enter_c + 0.499149 ala_DASH_L_c + 0.000223 2dmmql8_c + 0.133993 tyr_DASH_L_c + 0.000674 cu2_c + 0.000112 nadp_c + 0.000673 murein4px4px4p_p + 0.209684 ser_DASH_L_c + 0.234232 asn_DASH_L_c + 0.000223 10fthf_c + 0.000223 fad_c + 0.003805 pg161_p + 0.024732 pe161_p + 0.000307 ni2_c + 0.004439 pg161_c + 0.009618 pe161_c + 0.000223 thmpp_c + 0.255712 glu_DASH_L_c + 0.000223 gthrd_c + 0.008253 mg2_c + 0.000223 mql8_c + 54.119975 atp_c + 0.000658 mn2_c + 2.5e-05 2fe2s_c + 0.004126 so4_c + 0.000168 coa_c + 0.000223 thf_c + 0.000279 accoa_c + 4.5e-05 nadh_c + 0.005448 murein4px4p_p + 0.000223 5mthf_c + 0.000223 amet_c + 0.012379 nh4_c + 3e-06 lipopb_c + 2e-06 btn_c + 0.000223 mlthf_c + 0.000223 q8h2_c + 0.209121 gtp_c + 0.008151 colipa_e + 0.03327 ptrc_c + 0.00118 clpn181_p + 0.140101 utp_c + 7e-06 mobd_c + 0.004892 pg160_p + 0.031798 pe160_p + 0.255712 gln_DASH_L_c + 0.000248 4fe4s_c + 0.005707 pg160_c + 0.012366 pe160_c + 0.088988 cys_DASH_L_c + 0.002288 pg181_c + 0.214798 pro_DASH_L_c + 0.00229 clpn161_p + 0.001787 nad_c + 0.595297 gly_c + 0.004952 ca2_c + 7e-06 mocogdp_c + 0.411184 val_DASH_L_c + 0.005381 murein4p4p_p + 0.001345 murein3p3p_p + 0.000335 nadph_c + 0.180021 phe_DASH_L_c + 0.18569 k_c + 0.234232 asp_DASH_L_c + 48.752916 h2o_c + 0.006388 fe2_c + 0.012747 pe181_p + 5.5e-05 udcpdp_c + 0.129799 ctp_c + 0.000223 chor_c + 0.004957 pe181_c + 0.000324 zn2_c + 3.1e-05 malcoa_c + 0.333448 lys_DASH_L_c + 0.282306 ile_DASH_L_c + 0.002944 clpn160_p + 0.025612 dgtp_c + 0.000116 bmocogdp_c + 0.000223 adocbl_c + 0.001961 pg181_p + 0.154187 glycogen_c + 0.28742 arg_DASH_L_c + 0.024805 dttp_c + 0.437778 leu_DASH_L_c + 9.8e-05 succoa_c + 0.000223 pheme_c + 0.025612 dctp_c + 0.000223 sheme_c + 0.092056 his_DASH_L_c + 0.246506 thr_DASH_L_c + 0.055234 trp_DASH_L_c -> 0.749831 ppi_c + 53.945874 pi_c + 53.95 h_c + 53.95 adp_c,0.0,1000.0,
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,1.0 12ppd_DASH_R_e ->,0.0,0.0,
EX_14glucan_LPAREN_e_RPAREN_,1.0 14glucan_e ->,0.0,0.0,
EX_23camp_LPAREN_e_RPAREN_,1.0 23camp_e ->,0.0,0.0,
EX_23cgmp_LPAREN_e_RPAREN_,1.0 23cgmp_e ->,0.0,0.0,
EX_23dappa_LPAREN_e_RPAREN_,1.0 23dappa_e ->,0.0,0.0,
EX_2ddglcn_LPAREN_e_RPAREN_,1.0 2ddglcn_e ->,0.0,0.0,
EX_3amp_LPAREN_e_RPAREN_,1.0 3amp_e ->,0.0,0.0,
EX_3gmp_LPAREN_e_RPAREN_,1.0 3gmp_e ->,0.0,0.0,
EX_3hpp_LPAREN_e_RPAREN_,1.0 3hpp_e ->,0.0,0.0,
EX_3ump_LPAREN_e_RPAREN_,1.0 3ump_e ->,0.0,0.0,
EX_4hoxpacd_LPAREN_e_RPAREN_,1.0 4hoxpacd_e ->,0.0,0.0,
EX_5mtr_LPAREN_e_RPAREN_,1.0 5mtr_e ->,0.0,1000.0,
EX_LalaDgluMdap_LPAREN_e_RPAREN_,1.0 LalaDgluMdap_e ->,0.0,0.0,
EX_LalaLglu_LPAREN_e_RPAREN_,1.0 LalaLglu_e ->,0.0,0.0,
EX_ac_LPAREN_e_RPAREN_,1.0 ac_e ->,0.0,1000.0,
EX_acald_LPAREN_e_RPAREN_,1.0 acald_e ->,0.0,0.0,
EX_acgal1p_LPAREN_e_RPAREN_,1.0 acgal1p_e ->,0.0,0.0,
EX_acgam1p_LPAREN_e_RPAREN_,1.0 acgam1p_e ->,0.0,0.0,
EX_acmum_LPAREN_e_RPAREN_,1.0 acmum_e ->,0.0,0.0,
EX_acolipa_LPAREN_e_RPAREN_,1.0 acolipa_e ->,0.0,0.0,
EX_ade_LPAREN_e_RPAREN_,1.0 ade_e ->,0.0,0.0,
EX_adocbl_LPAREN_e_RPAREN_,1.0 adocbl_e ->,0.0,0.0,
EX_agm_LPAREN_e_RPAREN_,1.0 agm_e ->,0.0,0.0,
EX_ala_DASH_B_LPAREN_e_RPAREN_,1.0 ala_DASH_B_e ->,0.0,0.0,
EX_ala_DASH_L_LPAREN_e_RPAREN_,1.0 ala_DASH_L_e ->,0.0,0.0,
EX_all_DASH_D_LPAREN_e_RPAREN_,1.0 all_DASH_D_e ->,0.0,0.0,
EX_amp_LPAREN_e_RPAREN_,1.0 amp_e ->,0.0,0.0,
EX_arab_DASH_L_LPAREN_e_RPAREN_,1.0 arab_DASH_L_e ->,0.0,0.0,
EX_arbtn_LPAREN_e_RPAREN_,1.0 arbtn_e ->,0.0,0.0,
EX_arg_DASH_L_LPAREN_e_RPAREN_,1.0 arg_DASH_L_e ->,0.0,0.0,
EX_asn_DASH_L_LPAREN_e_RPAREN_,1.0 asn_DASH_L_e ->,0.0,0.0,
EX_asp_DASH_L_LPAREN_e_RPAREN_,1.0 asp_DASH_L_e ->,0.0,0.0,
EX_but_LPAREN_e_RPAREN_,1.0 but_e ->,0.0,0.0,
EX_ca2_LPAREN_e_RPAREN_,1.0 ca2_e ->,0.0,0.0,
EX_cbl1_LPAREN_e_RPAREN_,1.0 cbl1_e ->,0.0,0.0,
EX_cgly_LPAREN_e_RPAREN_,1.0 cgly_e ->,0.0,0.0,
EX_chtbs_LPAREN_e_RPAREN_,1.0 chtbs_e ->,0.0,0.0,
EX_cl_LPAREN_e_RPAREN_,1.0 cl_e ->,0.0,0.0,
EX_cmp_LPAREN_e_RPAREN_,1.0 cmp_e ->,0.0,0.0,
EX_co2_LPAREN_e_RPAREN_,1.0 co2_e ->,0.0,1000.0,
EX_colipa_LPAREN_e_RPAREN_,1.0 colipa_e ->,0.0,0.0,
EX_cpgn_LPAREN_e_RPAREN_,1.0 cpgn_e ->,0.0,0.0,
EX_crn_LPAREN_e_RPAREN_,1.0 crn_e ->,0.0,0.0,
EX_csn_LPAREN_e_RPAREN_,1.0 csn_e ->,0.0,0.0,
EX_cu2_LPAREN_e_RPAREN_,1.0 cu2_e ->,0.0,0.0,
EX_cynt_LPAREN_e_RPAREN_,1.0 cynt_e ->,0.0,0.0,
EX_cys_DASH_L_LPAREN_e_RPAREN_,1.0 cys_DASH_L_e ->,0.0,0.0,
EX_dad_DASH_2_LPAREN_e_RPAREN_,1.0 dad_DASH_2_e ->,0.0,0.0,
EX_dca_LPAREN_e_RPAREN_,1.0 dca_e ->,0.0,0.0,
EX_dcyt_LPAREN_e_RPAREN_,1.0 dcyt_e ->,0.0,0.0,
EX_dgmp_LPAREN_e_RPAREN_,1.0 dgmp_e ->,0.0,0.0,
EX_dha_LPAREN_e_RPAREN_,1.0 dha_e ->,0.0,0.0,
EX_din_LPAREN_e_RPAREN_,1.0 din_e ->,0.0,0.0,
EX_dmso_LPAREN_e_RPAREN_,1.0 dmso_e ->,0.0,0.0,
EX_doxrbcn_LPAREN_e_RPAREN_,1.0 doxrbcn_e ->,0.0,0.0,
EX_dump_LPAREN_e_RPAREN_,1.0 dump_e ->,0.0,0.0,
EX_eca4colipa_LPAREN_e_RPAREN_,1.0 eca4colipa_e ->,0.0,0.0,
EX_enter_LPAREN_e_RPAREN_,1.0 enter_e ->,0.0,0.0,
EX_ethso3_LPAREN_e_RPAREN_,1.0 ethso3_e ->,0.0,0.0,
EX_f6p_LPAREN_e_RPAREN_,1.0 f6p_e ->,0.0,0.0,
EX_fe2_LPAREN_e_RPAREN_,1.0 fe2_e ->,0.0,0.0,
EX_fe3dcit_LPAREN_e_RPAREN_,1.0 fe3dcit_e ->,0.0,0.0,
EX_fe3hox_LPAREN_e_RPAREN_,1.0 fe3hox_e ->,0.0,0.0,
EX_fecrm_LPAREN_e_RPAREN_,1.0 fecrm_e ->,0.0,0.0,
EX_feenter_LPAREN_e_RPAREN_,1.0 feenter_e ->,0.0,0.0,
EX_feoxam_DASH_un_LPAREN_e_RPAREN_,1.0 feoxam_DASH_un_e ->,0.0,0.0,
EX_fru_LPAREN_e_RPAREN_,1.0 fru_e ->,0.0,0.0,
EX_fruur_LPAREN_e_RPAREN_,1.0 fruur_e ->,0.0,0.0,
EX_fum_LPAREN_e_RPAREN_,1.0 fum_e ->,0.0,0.0,
EX_g1p_LPAREN_e_RPAREN_,1.0 g1p_e ->,0.0,0.0,
EX_g3pe_LPAREN_e_RPAREN_,1.0 g3pe_e ->,0.0,0.0,
EX_g3pi_LPAREN_e_RPAREN_,1.0 g3pi_e ->,0.0,0.0,
EX_g6p_LPAREN_e_RPAREN_,1.0 g6p_e ->,0.0,0.0,
EX_gal_DASH_bD_LPAREN_e_RPAREN_,1.0 gal_DASH_bD_e ->,0.0,0.0,
EX_galct_DASH_D_LPAREN_e_RPAREN_,1.0 galct_DASH_D_e ->,0.0,0.0,
EX_galctn_DASH_L_LPAREN_e_RPAREN_,1.0 galctn_DASH_L_e ->,0.0,0.0,
EX_galur_LPAREN_e_RPAREN_,1.0 galur_e ->,0.0,0.0,
EX_gam6p_LPAREN_e_RPAREN_,1.0 gam6p_e ->,0.0,0.0,
EX_gdp_LPAREN_e_RPAREN_,1.0 gdp_e ->,0.0,0.0,
EX_glcn_LPAREN_e_RPAREN_,1.0 glcn_e ->,0.0,0.0,
EX_glcur_LPAREN_e_RPAREN_,1.0 glcur_e ->,0.0,0.0,
EX_gln_DASH_L_LPAREN_e_RPAREN_,1.0 gln_DASH_L_e ->,0.0,0.0,
EX_gly_LPAREN_e_RPAREN_,1.0 gly_e ->,0.0,0.0,
EX_glyb_LPAREN_e_RPAREN_,1.0 glyb_e ->,0.0,0.0,
EX_glyc_DASH_R_LPAREN_e_RPAREN_,1.0 glyc_DASH_R_e ->,0.0,0.0,
EX_glyc3p_LPAREN_e_RPAREN_,1.0 glyc3p_e ->,0.0,0.0,
EX_gmp_LPAREN_e_RPAREN_,1.0 gmp_e ->,0.0,0.0,
EX_gthox_LPAREN_e_RPAREN_,1.0 gthox_e ->,0.0,0.0,
EX_gtp_LPAREN_e_RPAREN_,1.0 gtp_e ->,0.0,0.0,
EX_h_LPAREN_e_RPAREN_,1.0 h_e ->,0.0,1000.0,
EX_h2o_LPAREN_e_RPAREN_,1.0 h2o_e ->,0.0,1000.0,
EX_h2s_LPAREN_e_RPAREN_,1.0 h2s_e ->,0.0,0.0,
EX_halipa_LPAREN_e_RPAREN_,1.0 halipa_e ->,0.0,0.0,
EX_hdcea_LPAREN_e_RPAREN_,1.0 hdcea_e ->,0.0,0.0,
EX_his_DASH_L_LPAREN_e_RPAREN_,1.0 his_DASH_L_e ->,0.0,0.0,
EX_hxa_LPAREN_e_RPAREN_,1.0 hxa_e ->,0.0,0.0,
EX_idon_DASH_L_LPAREN_e_RPAREN_,1.0 idon_DASH_L_e ->,0.0,0.0,
EX_imp_LPAREN_e_RPAREN_,1.0 imp_e ->,0.0,0.0,
EX_inost_LPAREN_e_RPAREN_,1.0 inost_e ->,0.0,0.0,
EX_isetac_LPAREN_e_RPAREN_,1.0 isetac_e ->,0.0,0.0,
EX_kdo2lipid4_LPAREN_e_RPAREN_,1.0 kdo2lipid4_e ->,0.0,0.0,
EX_lac_DASH_L_LPAREN_e_RPAREN_,1.0 lac_DASH_L_e ->,0.0,0.0,
EX_leu_DASH_L_LPAREN_e_RPAREN_,1.0 leu_DASH_L_e ->,0.0,0.0,
EX_lipa_cold_LPAREN_e_RPAREN_,1.0 lipa_cold_e ->,0.0,0.0,
EX_lys_DASH_L_LPAREN_e_RPAREN_,1.0 lys_DASH_L_e ->,0.0,0.0,
EX_mal_DASH_D_LPAREN_e_RPAREN_,1.0 mal_DASH_D_e ->,0.0,0.0,
EX_malt_LPAREN_e_RPAREN_,1.0 malt_e ->,0.0,0.0,
EX_maltpt_LPAREN_e_RPAREN_,1.0 maltpt_e ->,0.0,0.0,
EX_maltttr_LPAREN_e_RPAREN_,1.0 maltttr_e ->,0.0,0.0,
EX_man6p_LPAREN_e_RPAREN_,1.0 man6p_e ->,0.0,0.0,
EX_melib_LPAREN_e_RPAREN_,1.0 melib_e ->,0.0,0.0,
EX_meoh_LPAREN_e_RPAREN_,1.0 meoh_e ->,0.0,1000.0,
EX_met_DASH_L_LPAREN_e_RPAREN_,1.0 met_DASH_L_e ->,0.0,0.0,
EX_metsox_DASH_S_DASH_L_LPAREN_e_RPAREN_,1.0 metsox_DASH_S_DASH_L_e ->,0.0,0.0,
EX_mincyc_LPAREN_e_RPAREN_,1.0 mincyc_e ->,0.0,0.0,
EX_mmet_LPAREN_e_RPAREN_,1.0 mmet_e ->,0.0,0.0,
EX_mnl_LPAREN_e_RPAREN_,1.0 mnl_e ->,0.0,0.0,
EX_mso3_LPAREN_e_RPAREN_,1.0 mso3_e ->,0.0,0.0,
EX_na1_LPAREN_e_RPAREN_,1.0 na1_e ->,0.0,0.0,
EX_nh4_LPAREN_e_RPAREN_,1.0 nh4_e ->,0.0,0.0,
EX_nmn_LPAREN_e_RPAREN_,1.0 nmn_e ->,0.0,0.0,
EX_no2_LPAREN_e_RPAREN_,1.0 no2_e ->,0.0,0.0,
EX_novbcn_LPAREN_e_RPAREN_,1.0 novbcn_e ->,0.0,0.0,
EX_o2_LPAREN_e_RPAREN_,1.0 o2_e ->,0.0,0.0,
EX_ocdca_LPAREN_e_RPAREN_,1.0 ocdca_e ->,0.0,0.0,
EX_octa_LPAREN_e_RPAREN_,1.0 octa_e ->,0.0,0.0,
EX_orot_LPAREN_e_RPAREN_,1.0 orot_e ->,0.0,0.0,
EX_peamn_LPAREN_e_RPAREN_,1.0 peamn_e ->,0.0,0.0,
EX_pheme_LPAREN_e_RPAREN_,1.0 pheme_e ->,0.0,0.0,
EX_pnto_DASH_R_LPAREN_e_RPAREN_,1.0 pnto_DASH_R_e ->,0.0,0.0,
EX_ppal_LPAREN_e_RPAREN_,1.0 ppal_e ->,0.0,0.0,
EX_ppt_LPAREN_e_RPAREN_,1.0 ppt_e ->,0.0,0.0,
EX_progly_LPAREN_e_RPAREN_,1.0 progly_e ->,0.0,0.0,
EX_pser_DASH_L_LPAREN_e_RPAREN_,1.0 pser_DASH_L_e ->,0.0,0.0,
EX_pydam_LPAREN_e_RPAREN_,1.0 pydam_e ->,0.0,0.0,
EX_pydxn_LPAREN_e_RPAREN_,1.0 pydxn_e ->,0.0,0.0,
EX_quin_LPAREN_e_RPAREN_,1.0 quin_e ->,0.0,0.0,
EX_rfamp_LPAREN_e_RPAREN_,1.0 rfamp_e ->,0.0,0.0,
EX_rmn_LPAREN_e_RPAREN_,1.0 rmn_e ->,0.0,0.0,
EX_sel_LPAREN_e_RPAREN_,1.0 sel_e ->,0.0,0.0,
EX_ser_DASH_L_LPAREN_e_RPAREN_,1.0 ser_DASH_L_e ->,0.0,0.0,
EX_slnt_LPAREN_e_RPAREN_,1.0 slnt_e ->,0.0,0.0,
EX_so3_LPAREN_e_RPAREN_,1.0 so3_e ->,0.0,0.0,
EX_spmd_LPAREN_e_RPAREN_,1.0 spmd_e ->,0.0,0.0,
EX_sucr_LPAREN_e_RPAREN_,1.0 sucr_e ->,0.0,0.0,
EX_tartr_DASH_D_LPAREN_e_RPAREN_,1.0 tartr_DASH_D_e ->,0.0,0.0,
EX_taur_LPAREN_e_RPAREN_,1.0 taur_e ->,0.0,0.0,
EX_thm_LPAREN_e_RPAREN_,1.0 thm_e ->,0.0,0.0,
EX_thrp_LPAREN_e_RPAREN_,1.0 thrp_e ->,0.0,0.0,
EX_thymd_LPAREN_e_RPAREN_,1.0 thymd_e ->,0.0,0.0,
EX_tmao_LPAREN_e_RPAREN_,1.0 tmao_e ->,0.0,0.0,
EX_trp_DASH_L_LPAREN_e_RPAREN_,1.0 trp_DASH_L_e ->,0.0,0.0,
EX_ttdca_LPAREN_e_RPAREN_,1.0 ttdca_e ->,0.0,0.0,
EX_ttrcyc_LPAREN_e_RPAREN_,1.0 ttrcyc_e ->,0.0,0.0,
EX_tym_LPAREN_e_RPAREN_,1.0 tym_e ->,0.0,0.0,
EX_tyrp_LPAREN_e_RPAREN_,1.0 tyrp_e ->,0.0,0.0,
EX_udpacgal_LPAREN_e_RPAREN_,1.0 udpacgal_e ->,0.0,0.0,
EX_udpgal_LPAREN_e_RPAREN_,1.0 udpgal_e ->,0.0,0.0,
EX_ump_LPAREN_e_RPAREN_,1.0 ump_e ->,0.0,0.0,
EX_urea_LPAREN_e_RPAREN_,1.0 urea_e ->,0.0,0.0,
EX_val_DASH_L_LPAREN_e_RPAREN_,1.0 val_DASH_L_e ->,0.0,0.0,
EX_xmp_LPAREN_e_RPAREN_,1.0 xmp_e ->,0.0,0.0,
EX_xyl_DASH_D_LPAREN_e_RPAREN_,1.0 xyl_DASH_D_e ->,0.0,0.0,
EX_zn2_LPAREN_e_RPAREN_,1.0 zn2_e ->,0.0,0.0,
23PDE4pp,1.0 h2o_p + 1.0 23ccmp_p -> 1.0 3cmp_p + 1.0 h_p,0.0,0.0,Nucleotide Salvage Pathway
23PDE9pp,1.0 23cgmp_p + 1.0 h2o_p -> 1.0 3gmp_p + 1.0 h_p,0.0,0.0,Nucleotide Salvage Pathway
2DGULRGy,1.0 nadph_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 glcn_c + 1.0 nadp_c,0.0,0.0,Alternate Carbon Metabolism
2DGULRy,1.0 nadph_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 nadp_c + 1.0 idon_DASH_L_c,0.0,0.0,Alternate Carbon Metabolism
3HCINNMH,1.0 o2_c + 1.0 nadh_c + 1.0 3hcinnm_c + 1.0 h_c -> 1.0 h2o_c + 1.0 dhcinnm_c + 1.0 nad_c,0.0,0.0,Alternate Carbon Metabolism
3KGK,1.0 3dhguln_c + 1.0 atp_c -> 1.0 3dhgulnp_c + 1.0 h_c + 1.0 adp_c,0.0,0.0,Alternate Carbon Metabolism
3NTD4pp,1.0 h2o_p + 1.0 3cmp_p -> 1.0 pi_p + 1.0 cytd_p,0.0,0.0,Nucleotide Salvage Pathway
3NTD9pp,1.0 h2o_p + 1.0 3gmp_p -> 1.0 pi_p + 1.0 gsn_p,0.0,0.0,Nucleotide Salvage Pathway
3PEPTabcpp,1.0 h2o_c + 1.0 LalaDgluMdap_p + 1.0 atp_c -> 1.0 pi_c + 1.0 adp_c + 1.0 LalaDgluMdap_c + 1.0 h_c,0.0,1000.0,Murein Recycling
4PCP,1.0 LalaDgluMdapDala_c + 1.0 h2o_c -> 1.0 ala_DASH_D_c + 1.0 LalaDgluMdap_c,0.0,1000.0,Murein Recycling
4PCPpp,1.0 LalaDgluMdapDala_p + 1.0 h2o_p -> 1.0 ala_DASH_D_p + 1.0 LalaDgluMdap_p,0.0,1000.0,Murein Recycling
4PEPTabcpp,1.0 LalaDgluMdapDala_p + 1.0 h2o_c + 1.0 atp_c -> 1.0 LalaDgluMdapDala_c + 1.0 pi_c + 1.0 h_c + 1.0 adp_c,0.0,1000.0,Murein Recycling
5DGLCNR,1.0 5dglcn_c + 1.0 nadph_c + 1.0 h_c -> 1.0 glcn_c + 1.0 nadp_c,0,1000.0,Alternate Carbon Metabolism
5DOAN,1.0 h2o_c + 1.0 dad_DASH_5_c -> 1.0 ade_c + 1.0 5drib_c,0.0,1000.0,Cofactor and Prosthetic Group Biosynthesis
5MTRtpp,1.0 5mtr_c + 1.0 h_c -> 1.0 h_p + 1.0 5mtr_p,0.0,1000.0,"Transport, Inner Membrane"
A5PISO,1.0 ru5p_DASH_D_c -> 1.0 ara5p_c,0,1000.0,Alternate Carbon Metabolism
AACTOOR,1.0 o2_c + 1.0 h2o_c + 1.0 aact_c -> 1.0 h2o2_c + 1.0 nh4_c + 1.0 mthgxl_c,0.0,1000.0,Methylglyoxal Metabolism
AAMYLpp,1.0 14glucan_p -> 1.0 malthx_p,0.0,0.0,Alternate Carbon Metabolism
ABTA,1.0 akg_c + 1.0 4abut_c -> 1.0 glu_DASH_L_c + 1.0 sucsal_c,0.0,1000.0,Arginine and Proline Metabolism
ACALD,1.0 acald_c + 1.0 coa_c + 1.0 nad_c -> 1.0 nadh_c + 1.0 h_c + 1.0 accoa_c,0,1000.0,Pyruvate Metabolism
ACCOAC,1.0 hco3_c + 1.0 accoa_c + 1.0 atp_c -> 1.0 malcoa_c + 1.0 pi_c + 1.0 h_c + 1.0 adp_c,0.0,1000.0,Membrane Lipid Metabolism
