mapping_id,rxn_id_modified,rxn_id,rxn_description,used_,comments_,reactants_elements_tracked,products_elements_tracked,reactants_trackedids,reactants_mapping,products_trackedids,products_mapping
full01,ABTA,ABTA,,TRUE,individual,C,C,1*4abut_c+1*akg_c,abcd+efghi,1*glu_DASH_L_c+1*sucsal_c,efghi+abcd
full01,ACKr,ACKr,,TRUE,individual,C,C,1*ac_c,ab,1*actp_c,ab
full01,ACKr_reverse,ACKr_reverse,,TRUE,individual,C,C,1*actp_c,ab,1*ac_c,ab
full01,ACODA,ACODA,,TRUE,individual,C,C,1*acorn_c,abcdefg,1*ac_c+1*orn_c,fg+abcde
full01,ACOTA,ACOTA,,TRUE,individual,C,C,1*acorn_c+1*akg_c,abcdefg+hijkl,1*acg5sa_c+1*glu_DASH_L_c,abcdefg+hijkl
full01,ACOTA_reverse,ACOTA_reverse,,TRUE,individual,C,C,1*acg5sa_c+1*glu_DASH_L_c,abcdefg+hijkl,1*acorn_c+1*akg_c,abcdefg+hijkl
full01,ACS,ACS,,TRUE,individual,C,C,1*ac_c+1*coa_c,ab+ABCDEFGHIJKLMNOPQRSTU,1*accoa_c,ABCDEFGHIJKLMNOPQRSTUab
full01,ACS_coaNEG,ACS,,FALSE,individual,C,C,1*ac_c,ab,1*accoa_c,ab
full01,ACt2rpp,ACt2rpp,,TRUE,individual,C,C,1*ac_p,ab,1*ac_c,ab
full01,ACtex,ACtex,,TRUE,individual,C,C,1*ac_e,ab,1*ac_p,ab
full01,ACt2rpp_reverse,ACt2rpp_reverse,,TRUE,individual,C,C,1*ac_c,ab,1*ac_p,ab
full01,Actex_reverse,Actex_reverse,,TRUE,individual,C,C,1*ac_p,ab,1*ac_e,ab
full01,ACALD_reverse,ACALD_reverse,,TRUE,individual,C,C,1*accoa_c,ABCDEFGHIJKLMNOPQRSTUab,1*acald_c+1*coa_c,ab+ABCDEFGHIJKLMNOPQRSTU
full01,ACALD_reverse_coaNEG,ACALD_reverse,,FALSE,individual,C,C,1*accoa_c,ab,1*acald_c,ab
full01,ALCD2x,ALCD2x,,TRUE,individual,C,C,1*accoa_c,ABCDEFGHIJKLMNOPQRSTUab,1*coa_c+1*etoh_c,ABCDEFGHIJKLMNOPQRSTU+ab
full01,ALCD2x_coaNEG,ALCD2x,,FALSE,individual,C,C,1*accoa_c,ab,1*etoh_c,ab
full01,ACALD,ACALD,,TRUE,individual,C,C,1*acald_c+1*coa_c,ab+ABCDEFGHIJKLMNOPQRSTU,1*accoa_c,ABCDEFGHIJKLMNOPQRSTUab
full01,ACALD_coaNEG,ACALD,,FALSE,individual,C,C,1*acald_c,ab,1*accoa_c,ab
full01,ALCD2x_reverse,ALCD2x_reverse,,TRUE,individual,C,C,1*etoh_c+1*coa_c,ab+ABCDEFGHIJKLMNOPQRSTU,1*accoa_c,ABCDEFGHIJKLMNOPQRSTUab
full01,ALCD2x_reverse_coaNEG,ALCD2x_reverse,,FALSE,individual,C,C,1*etoh_c,ab,1*accoa_c,ab
full01,ADK1_Abbreviated,ADK1,,FALSE,modified,C,C,1*amp_c+1*atp_c,abcdefghij+klmnopqrst,1*adp_c+1*adp_c,abcdefghij+klmnopqrst
full01,ADK1,ADK1,,TRUE,modified,C,C,1*amp_c+1*atp_c,abcdefghij+klmnopqrst,1*adp_c+1*adp_c,abcdefghij+klmnopqrst
full01,ADK3_Abbreviated,ADK3,,FALSE,modified,C,C,1*amp_c+1*gtp_c,abcdefghij+klmnopqrst,1*adp_c+1*gdp_c,abcdefghij+klmnopqrst
full01,ADK3,ADK3,,TRUE,modified,C,C,1*amp_c+1*gtp_c,abcdefghij+klmnopqrst,1*adp_c+1*gdp_c,abcdefghij+klmnopqrst
full01,AGPR,AGPR,,TRUE,individual,C,C,1*acg5sa_c,abcdefg,1*acg5p_c,abcdefg
full01,AGPR_reverse,AGPR_reverse,,TRUE,individual,C,C,1*acg5p_c,abcdefg,1*acg5sa_c,abcdefg
full01,ALAR,ALAR,,TRUE,individual,C,C,1*ala_DASH_L_c,abc,1*ala_DASH_D_c,abc
full01,ALAR_reverse,ALAR_reverse,,TRUE,individual,C,C,1*ala_DASH_D_c,abc,1*ala_DASH_L_c,abc
full01,ALATA_L,ALATA_L,,TRUE,individual,C,C,1*akg_c+1*ala_DASH_L_c,abcde+fgh,1*glu_DASH_L_c+1*pyr_c,abcde+fgh
full01,ALATA_L_reverse,ALATA_L_reverse,,TRUE,individual,C,C,1*glu_DASH_L_c+1*pyr_c,abcde+fgh,1*akg_c+1*ala_DASH_L_c,abcde+fgh
full01,ALDD2x,ALDD2x,,TRUE,individual,C,C,1*acald_c,ab,1*ac_c,ab
full01,ARGSL,ARGSL,,TRUE,individual,C,C,1*argsuc_c,abcdefghij,1*arg_DASH_L_c+0.5*fum_c+0.5*fum_c,abcdef+jghi+ihgj
full01,ARGSL_reverse,ARGSL_reverse,,TRUE,individual,C,C,1*arg_DASH_L_c+0.5*fum_c+0.5*fum_c,abcdef+jghi+ihgj,1*argsuc_c,abcdefghij
full01,ARGSS,ARGSS,,TRUE,individual,C,C,1*asp_DASH_L_c+1*citr_DASH_L_c,abcd+efghij,1*argsuc_c,efghijbcda
full01,ASAD,ASAD,,TRUE,individual,C,C,1*aspsa_c,abcd,1*4pasp_c,abcd
full01,ASAD_reverse,ASAD_reverse,,TRUE,individual,C,C,1*4pasp_c,abcd,1*aspsa_c,abcd
full01,ASNN,ASNN,,TRUE,individual,C,C,1*asn_DASH_L_c,abcd,1*asp_DASH_L_c,abcd
full01,ASNS1,ASNS1,,TRUE,individual,C,C,1*asp_DASH_L_c+1*gln_DASH_L_c,abcd+efghi,1*asn_DASH_L_c+1*glu_DASH_L_c,abcd+efghi
full01,ASNS2,ASNS2,,TRUE,individual,C,C,1*asp_DASH_L_c,abcd,1*asn_DASH_L_c,abcd
full01,ASPK,ASPK,,TRUE,individual,C,C,1*asp_DASH_L_c,abcd,1*4pasp_c,abcd
full01,ASPK_reverse,ASPK_reverse,,TRUE,individual,C,C,1*4pasp_c,abcd,1*asp_DASH_L_c,abcd
full01,ASPTA,ASPTA,,TRUE,individual,C,C,1*akg_c+1*asp_DASH_L_c,abcde+fghi,1*glu_DASH_L_c+1*oaa_c,abcde+fghi
full01,ASPTA_reverse,ASPTA_reverse,,TRUE,individual,C,C,1*glu_DASH_L_c+1*oaa_c,abcde+fghi,1*akg_c+1*asp_DASH_L_c,abcde+fghi
full01,ATPS4rpp_Abbreviated,ATPS4rpp,,FALSE,modified,C,C,1*adp_c,abcdefghij,1*atp_c,abcdefghij
