sample_name,sample_type,calibrator_id,calibrator_level,sample_id,sample_dilution
131015_Blank-01,Blank,,,,1
131015_CM1_Level12,1,12,,,1
131015_CM1_Level11,1,11,,,1
131015_CM1_Level10,1,10,,,1
131015_CM1_Level9,1,9,,,1
131015_CM1_Level8,1,8,,,1
131015_CM1_Level7,1,7,,,1
131015_CM1_Level6,1,6,,,1
131015_CM1_Level5,1,5,,,1
131015_CM1_Level4,1,4,,,1
131015_CM1_Level3,1,3,,,1
131015_CM1_Level2,1,2,,,1
131015_CM1_Level1,1,1,,,1
131015_CM2_Level12,2,12,,,1
131015_CM2_Level11,2,11,,,1
131015_CM2_Level10,2,10,,,1
131015_CM2_Level9,2,9,,,1
131015_CM2_Level8,2,8,,,1
131015_CM2_Level7,2,7,,,1
131015_CM2_Level6,2,6,,,1
131015_CM2_Level5,2,5,,,1
131015_CM2_Level4,2,4,,,1
131015_CM2_Level3,2,3,,,1
131015_CM2_Level2,2,2,,,1
131015_CM2_Level1,2,1,,,1
131015_CM3_Level12,3,12,,,1
131015_CM3_Level11,3,11,,,1
131015_CM3_Level10,3,10,,,1
131015_CM3_Level9,3,9,,,1
131015_CM3_Level8,3,8,,,1
131015_CM3_Level7,3,7,,,1
131015_CM3_Level6,3,6,,,1
131015_CM3_Level5,3,5,,,1
131015_CM3_Level4,3,4,,,1
131015_CM3_Level3,3,3,,,1
131015_CM3_Level2,3,2,,,1
131015_CM3_Level1,3,1,,,1
