sample_id,sample_name_short,sample_name_abbreviation,sample_date,time_point,sample_condition,extraction_method_id,biological_material,sample_description,sample_replicate,is_added,is_added_units,reconsitution_volume,reconstitution_volume_units,istechnical,sample_replicate_biological
131206_0_OxicWTEcoliGlcM9_Filtrate-2,OxicWtGlc_Filtrate-1,OxicWtGlc,12/6/2013,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,2,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicWTEcoliGlcM9_Filtrate-3,OxicWtGlc_Filtrate-1,OxicWtGlc,12/6/2013,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,3,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc_Broth-1,OxicWtGlc,12/6/2013,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,4,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc_Broth-2,OxicWtGlc,12/6/2013,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,5,0.025,mL,0.25,mL,TRUE,2
131206_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc_Broth-3,OxicWtGlc,12/6/2013,0,OxicWTEcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,6,0.025,mL,0.25,mL,TRUE,3
131206_0_OxicEvo03EcoliGlcM9_Filtrate-2,OxicEvo03Glc_Filtrate-1,OxicEvo03Glc,12/6/2013,0,OxicEvo03EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,2,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo03EcoliGlcM9_Filtrate-3,OxicEvo03Glc_Filtrate-1,OxicEvo03Glc,12/6/2013,0,OxicEvo03EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Filtrate,3,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo03EcoliGlcM9_Broth-4,OxicEvo03Glc_Broth-1,OxicEvo03Glc,12/6/2013,0,OxicEvo03EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,4,0.025,mL,0.25,mL,TRUE,1
131206_0_OxicEvo03EcoliGlcM9_Broth-5,OxicEvo03Glc_Broth-2,OxicEvo03Glc,12/6/2013,0,OxicEvo03EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,5,0.025,mL,0.25,mL,TRUE,2
131206_0_OxicEvo03EcoliGlcM9_Broth-6,OxicEvo03Glc_Broth-3,OxicEvo03Glc,12/6/2013,0,OxicEvo03EcoliGlcM9,Aqueous acidic acetonitrile filtration,MG1655,Broth,6,0.025,mL,0.25,mL,TRUE,3
