sample_id,growth_condition_short,growth_condition_long,media_short,media_long,isoxic,temperature,supplementation,od600,vcd,culture_density,culture_volume_sampled,cells,dcw,wcw,vcd_units,culture_density_units,culture_volume_sampled_units,dcw_units,wcw_units
131206_0_OxicWTEcoliGlcM9_Filtrate-2,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.733333333,1.14E+12,0.33,1,1137931034,0.33,1.081034483,cells*L-1,g*L-1,mL,mg,mg
131206_0_OxicWTEcoliGlcM9_Filtrate-3,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.733333333,1.14E+12,0.33,1,1137931034,0.33,1.081034483,cells*L-1,g*L-1,mL,mg,mg
131206_0_OxicWTEcoliGlcM9_Broth-4,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.74,1.15E+12,0.333,1,1148275862,0.333,1.090862069,cells*L-1,g*L-1,mL,mg,mg
131206_0_OxicWTEcoliGlcM9_Broth-5,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.656,1.02E+12,0.2952,1,1017931034,0.2952,0.967034483,cells*L-1,g*L-1,mL,mg,mg
131206_0_OxicWTEcoliGlcM9_Broth-6,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.804,1.25E+12,0.3618,1,1247586207,0.3618,1.185206897,cells*L-1,g*L-1,mL,mg,mg
131206_0_OxicEvo03EcoliGlcM9_Filtrate-2,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.809333333,1.26E+12,0.3642,1,1255862069,0.3642,1.193068966,cells*L-1,g*L-1,mL,mg,mg
131206_0_OxicEvo03EcoliGlcM9_Filtrate-3,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.809333333,1.26E+12,0.3642,1,1255862069,0.3642,1.193068966,cells*L-1,g*L-1,mL,mg,mg
131206_0_OxicEvo03EcoliGlcM9_Broth-4,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.772,1.20E+12,0.3474,1,1197931034,0.3474,1.138034483,cells*L-1,g*L-1,mL,mg,mg
131206_0_OxicEvo03EcoliGlcM9_Broth-5,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.76,1.18E+12,0.342,1,1179310345,0.342,1.120344828,cells*L-1,g*L-1,mL,mg,mg
131206_0_OxicEvo03EcoliGlcM9_Broth-6,Batch,Aerobic E. coli; Grown and sampled from shake flasks in a water bath at 37C,Glycerol M9 minimal media,,TRUE,37,,0.828,1.28E+12,0.3726,1,1284827586,0.3726,1.220586207,cells*L-1,g*L-1,mL,mg,mg
