"q1_mass","q3_mass","ms3_mass","met_name","dp","ep","ce","cxp","af","quantifier","ms_mode","ion_intensity_rank","ion_abundance","precursor_formula","product_ion_reference","product_formula","production_ion_notes","met_id","external_reference","q1_mass_units","q3_mass_units","ms3_mass_units","threshold_units","dp_units","ep_units","ce_units","cxp_units","af_units","ms_group","threshold","dwell_weight","component_name","ms_include","ms_is","precursor_fragment","product_fragment","precursor_exactmass","product_exactmass","ms_methodtype"
135,92,,"Hypoxanthine",-62,-6,-22,-4,,1,"-",1,,"C5H3N4O-","","C4H2N3+","?","hxan","","Da","Da","Da","count","volts","volts","volts","volts","volts","hxan",5000,1,"",t,t,"","",135.0306857,,"tuning"
133,115,,"L-Malate",-55,-4,-15,-5.4,,1,"-",1,,"C4H5O5-","Bajad 2006","C4H3O4-","Loss of H2O","mal-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","mal-L",800000,1,"",t,t,"{t,t,t,t}","{t,t,t,t}",133.0136983,,"tuning"
131,85,,"L-Ornithine",-61.8,-10,-17.4,-7.9,,1,"-",1,,"C5H11N2O2-","","C4H9N2-","","orn","","Da","Da","Da","count","volts","volts","volts","volts","volts","orn",5000,1,"",t,t,"","",131.0820526,,"tuning"
169,97,,"Dihydroxyacetone phosphate",-36,-11,-15,-5.8,,1,"-",,,"C3H6O6P-","","H2O4P-","","dhap","","Da","Da","Da","count","volts","volts","volts","volts","volts","dhap",5000,1,"",t,t,"","",168.9901994,,"tuning"
332,119,,"dAMP",40.1,10,69.1,13.6,,,"+",,51000,"C10H15N5O6P+","","","","damp","","Da","Da","Da","count","volts","volts","volts","volts","volts","damp",5000,1,"",f,f,"","",332.0759948,,"tuning"
259,79,,"alpha-D-Galactose 1-phosphate",-117.6,-10,-73,-10,,,"-",,4000000,"C6H12O9P-","","O3P-","","gal1p","","Da","Da","Da","count","volts","volts","volts","volts","volts","gal1p",5000,1,"",f,f,"","",259.0218935,,"tuning"
259,97,,"alpha-D-Galactose 1-phosphate",-65.35,-10,-22.95,-5.22,,,"-",,2500000,"C6H12O9P-","","H2O4P-","","gal1p","","Da","Da","Da","count","volts","volts","volts","volts","volts","gal1p",5000,1,"",f,f,"","",259.0218935,,"tuning"
259,241,,"alpha-D-Galactose 1-phosphate",-75.95,-10,-18.46,-8.16,,,"-",,980000,"C6H12O9P-","Beuscher 2010","C6H10O8P-","","gal1p","","Da","Da","Da","count","volts","volts","volts","volts","volts","gal1p",5000,1,"",f,f,"","",259.0218935,,"tuning"
182,91,,"L-Tyrosine",49.9,10,37,11.1,,,"+",,280000,"","","","","tyr-L","","Da","Da","Da","count","volts","volts","volts","volts","volts","tyr-L",5000,1,"",f,f,"","",,,"tuning"
117,41,,"(R)-3-Hydroxypentanoic acid",-38.5,-10,-36.9,-4.9,,,"-",3,99000,"C5H9O3-","","C2HO-","Could also be C3H5-","R-3hpt","","Da","Da","Da","count","volts","volts","volts","volts","volts","R-3hpt",5000,1,"",f,f,"","",,,"tuning"
117,59,,"(R)-3-Hydroxypentanoic acid",-42.1,-10,-14.3,-7,,,"-",1,1100000,"C5H9O3-","","C2H3O2-","Could also be C3H7O-","R-3hpt","","Da","Da","Da","count","volts","volts","volts","volts","volts","R-3hpt",5000,1,"",f,f,"","",,,"tuning"
117,100,,"(R)-3-Hydroxypentanoic acid",-106.3,-10,-30.9,-9.1,,,"-",2,240000,"C5H9O3-","","C5H8O2-","","R-3hpt","","Da","Da","Da","count","volts","volts","volts","volts","volts","R-3hpt",5000,1,"",f,f,"","",,,"tuning"
346,152,,"3',5'-Cyclic GMP",66.7,3,26,7.8,,,"+",1,170000,"C10H13N5O7P+","","","","35cgmp","","Da","Da","Da","count","volts","volts","volts","volts","volts","35cgmp",5000,1,"",f,f,"","",,,"tuning"
