q1_mass,q3_mass,ms3_mass,met_name,dp,ep,ce,cxp,af,quantifier,ms_mode,ion_intensity_rank,ion_abundance,precursor_formula,product_ion_reference,product_formula,production_ion_notes,met_id,external_reference,q1_mass_units,q3_mass_units,ms3_mass_units,threshold_units,dp_units,ep_units,ce_units,cxp_units,af_units,ms_group,threshold,dwell_weight,component_name,ms_include,ms_is,precursor_fragment,product_fragment,precursor_exactmass,product_exactmass,ms_methodtype
565,323,,UDPglucose,-30,-10,-33.76,-20,,1,-,1,1500000,,,,,udpg,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
565,241,,UDPglucose,-30,-10,-42.73,-12.3,,3,-,4,180000,,,,,udpg,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
565,385,,UDPglucose,-30,-10,-38.12,-18.4,,2,-,5,160000,,,,,udpg,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
565,79,,UDPglucose,-30,-10,-120,-12.09,,4,-,2,1200000,,,,,udpg,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
565,97,,UDPglucose,-30,-10,-54.55,-9.02,,,-,3,280000,,,,,udpg,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
579,403,,UDP-D-glucuronate,-30,-10,-34.6,-24,,1,-,1,200000,,,,,udpglcur,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
579,323,,UDP-D-glucuronate,-30,-10,-31.77,-16.9,,2,-,2,88000,,,,,udpglcur,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
579,255,,UDP-D-glucuronate,-30,-10,-34.62,-14.04,,,-,5,57000,,,,,udpglcur,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
579,159,,UDP-D-glucuronate,-30,-10,-56.75,-7.95,,,-,4,110000,,,,,udpglcur,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
579,79,,UDP-D-glucuronate,-30,-10,-110,-12,,,-,3,240000,,,,,udpglcur,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
225,163,,chorismate,-39.8,-10,-12.03,-10.9,,2,-,1,210000,,,,,chor,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
225,87,,chorismate,-32.5,-10,-12.98,-10,,,-,4,130000,,,,,chor,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
225,137,,chorismate,-28.04,-10,-19.54,-7.33,,,-,3,140000,,,,,chor,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
225,207,,chorismate,-35.55,-10,-8.65,-14.03,,,-,5,77000,,,,,chor,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
225,91,,chorismate,-42.08,-10,-19.96,-11.3,,1,-,2,160000,,,,,chor,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
173,93,,Shikimate,-40,-10,-26.2,-10.85,,1,-,1,4000000,,,,,skm,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
173,155,,Shikimate,-38.07,-10,-13.16,-8.26,,,-,3,2800000,,,,,skm,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
173,111,,Shikimate,-38.35,-10,-15.15,-8,,,-,2,3100000,,,,,skm,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
173,73,,Shikimate,-43.8,-10,-19.8,-10.88,,2,-,4,2600000,,,,,skm,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
173,137,,Shikimate,-43.16,-10,-17.16,-9,,,-,5,2400000,,,,,skm,,Da,Da,Da,count,volts,volts,volts,volts,volts,,5000,1,,FALSE,FALSE,,,,,tuning
