experiment_id,sample_name,filename,met_id,scan_type,precursor_formula
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_2pg_185_EPI_peakList.txt,2pg,EPI,C3H6O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_2pg_187_EPI_peakList.txt,2pg,EPI,C[13C]2H6O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_2pg_185_EPI_peakList.txt,2pg,EPI,C3H6O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_2pg_186_EPI_peakList.txt,2pg,EPI,C2[13C]H6O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_2pg_187_EPI_peakList.txt,2pg,EPI,C[13C]2H6O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_2pg_185_EPI_peakList.txt,2pg,EPI,C3H6O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_2pg_186_EPI_peakList.txt,2pg,EPI,C2[13C]H6O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_2pg_187_EPI_peakList.txt,2pg,EPI,C[13C]2H6O7P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_6pgc_275_EPI_peakList.txt,6pgc,EPI,C6H12O10P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,1_6pgc_277_EPI_peakList.txt,6pgc,EPI,C4[13C]2H12O10P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_6pgc_275_EPI_peakList.txt,6pgc,EPI,C6H12O10P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2_6pgc_277_EPI_peakList.txt,6pgc,EPI,C4[13C]2H12O10P-
WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,3_6pgc_275_EPI_peakList.txt,6pgc,EPI,C6H12O10P-
