Mass/Charge	Intensity
72.6	999.999991307656
72.72	333.333330435885
72.84	2333.3333130512
72.96	2999.99997392297
73.2	333.333330435885
73.68	666.666660871771
73.92	666.666660871771
74.28	666.666660871771
74.4	1333.33332174354
74.52	333.333330435885
74.64	999.999991307656
74.76	4999.99995653828
74.88	20666.6664870249
75	23666.6664609479
75.12	3333.33330435885
75.24	2666.66664348708
75.36	333.333330435885
75.6	333.333330435885
76.2	333.333330435885
76.32	666.666660871771
76.68	333.333330435885
79.8	333.333330435885
