Mass/Charge	Intensity
78.84	10881.5971276356
78.96	10881.5971276356
80.88	21763.1942552713
81	5440.79856381782
81.24	5440.79856381782
107.88	5440.79856381782
110.04	10881.5971276356
112.2	5440.79856381782
133.08	5440.79856381782
134.16	5440.79856381782
146.88	5440.79856381782
149.88	5440.79856381782
150	5440.79856381782
150.12	32644.7913829069
158.64	5440.79856381782
158.88	27203.9928190891
159	141460.762659263
159.12	32644.7913829069
159.24	32644.7913829069
159.48	10881.5971276356
159.6	5440.79856381782
159.72	5440.79856381782
160.8	27203.9928190891
160.92	27203.9928190891
161.04	70730.3813296316
161.16	16322.3956914535
161.28	16322.3956914535
167.04	5440.79856381782
175.08	16322.3956914535
175.2	10881.5971276356
175.32	5440.79856381782
177	21763.1942552713
177.12	10881.5971276356
177.36	5440.79856381782
177.48	5440.79856381782
178.92	5440.79856381782
179.04	5440.79856381782
193.08	5440.79856381782
227.76	5440.79856381782
228.12	5440.79856381782
230.16	5440.79856381782
238.92	10881.5971276356
239.04	5440.79856381782
240.6	5440.79856381782
240.84	16322.3956914535
240.96	5440.79856381782
241.32	5440.79856381782
271.08	5440.79856381782
273	10881.5971276356
274.08	5440.79856381782
274.92	5440.79856381782
275.04	10881.5971276356
275.16	10881.5971276356
275.4	5440.79856381782
276.36	5440.79856381782
281.16	5440.79856381782
306	5440.79856381782
313.08	10881.5971276356
317.04	5440.79856381782
327.96	5440.79856381782
328.32	5440.79856381782
345.84	5440.79856381782
345.96	38085.5899467247
346.08	5440.79856381782
346.2	5440.79856381782
346.56	5440.79856381782
350.16	5440.79856381782
354.48	5440.79856381782
355.2	5440.79856381782
364.08	5440.79856381782
384	5440.79856381782
388.92	5440.79856381782
403.32	5440.79856381782
404.52	5440.79856381782
407.52	5440.79856381782
423.72	16322.3956914535
423.84	43526.3885105425
423.96	27203.9928190891
424.08	32644.7913829069
424.2	5440.79856381782
424.8	5440.79856381782
425.76	27203.9928190891
425.88	54407.9856381782
426	103375.172712539
426.12	43526.3885105425
426.24	21763.1942552713
426.48	10881.5971276356
426.6	5440.79856381782
441.96	5440.79856381782
442.2	5440.79856381782
442.44	5440.79856381782
443.52	10881.5971276356
443.88	21763.1942552713
444	38085.5899467247
444.48	5440.79856381782
445.8	10881.5971276356
445.92	5440.79856381782
452.04	5440.79856381782
463.56	5440.79856381782
487.8	5440.79856381782
487.92	5440.79856381782
505.68	10881.5971276356
505.8	10881.5971276356
505.92	27203.9928190891
506.16	10881.5971276356
523.56	21763.1942552713
523.68	92493.5755849029
523.8	272039.928190891
523.92	315566.316701433
524.04	310125.518137616
524.16	108815.971276356
524.28	32644.7913829069
524.4	32644.7913829069
524.52	5440.79856381782
524.64	5440.79856381782
525.6	5440.79856381782
527.04	10881.5971276356
528.72	10881.5971276356
584.88	5440.79856381782
706.68	5440.79856381782
