Mass/Charge	Intensity
58.92	7649.92076683759
62.64	7649.92076683759
62.88	22949.7623005128
68.88	7649.92076683759
78.12	15299.8415336752
78.24	68849.2869015383
78.36	30599.6830673504
78.48	45899.5246010255
78.6	61199.3661347007
78.72	183598.098404102
78.84	550794.295212306
78.96	887390.80895316
79.08	145348.494569914
79.2	22949.7623005128
79.32	15299.8415336752
79.44	22949.7623005128
79.56	22949.7623005128
79.68	7649.92076683759
81.24	22949.7623005128
91.92	15299.8415336752
93.12	7649.92076683759
94.92	22949.7623005128
95.16	30599.6830673504
96.24	15299.8415336752
105	15299.8415336752
121.08	7649.92076683759
122.04	7649.92076683759
125.16	7649.92076683759
133.08	7649.92076683759
133.92	7649.92076683759
135.12	7649.92076683759
149.28	7649.92076683759
149.52	7649.92076683759
167.04	15299.8415336752
167.16	22949.7623005128
167.28	7649.92076683759
