Mass/Charge	Intensity
61.68	3970.31246548868
61.8	3970.31246548868
61.92	7940.62493097736
62.04	2646.87497699245
72.84	9264.06241947358
72.96	9264.06241947358
73.08	1323.43748849623
74.28	1323.43748849623
74.52	2646.87497699245
74.76	2646.87497699245
74.88	2646.87497699245
75	3970.31246548868
75.12	1323.43748849623
75.24	2646.87497699245
76.92	1323.43748849623
77.88	3970.31246548868
78.12	2646.87497699245
78.48	3970.31246548868
78.6	6617.18744248113
78.72	10587.4999079698
78.84	37056.2496778943
78.96	47643.7495858641
79.08	6617.18744248113
79.44	2646.87497699245
79.56	1323.43748849623
79.68	3970.31246548868
79.92	1323.43748849623
86.04	1323.43748849623
86.4	1323.43748849623
86.88	3970.31246548868
87	5293.7499539849
87.12	5293.7499539849
87.72	1323.43748849623
90.84	1323.43748849623
94.92	1323.43748849623
96.72	2646.87497699245
96.84	9264.06241947358
96.96	17204.6873504509
97.08	1323.43748849623
98.4	1323.43748849623
100.92	1323.43748849623
123.12	1323.43748849623
125.16	1323.43748849623
127.2	1323.43748849623
130.92	1323.43748849623
131.16	1323.43748849623
132.24	1323.43748849623
132.6	2646.87497699245
132.72	3970.31246548868
132.84	10587.4999079698
132.96	82053.124286766
133.08	231601.56048684
133.2	105874.999079698
133.32	31762.4997239094
133.44	13234.3748849623
133.56	3970.31246548868
133.68	5293.7499539849
133.8	1323.43748849623
134.04	1323.43748849623
134.4	2646.87497699245
134.88	2646.87497699245
135.12	6617.18744248113
138.84	1323.43748849623
138.96	3970.31246548868
139.08	10587.4999079698
144.6	2646.87497699245
145.08	1323.43748849623
147	2646.87497699245
149.04	3970.31246548868
151.08	1323.43748849623
152.16	2646.87497699245
153.96	2646.87497699245
157.2	1323.43748849623
158.04	3970.31246548868
158.16	7940.62493097736
168.12	2646.87497699245
169.08	2646.87497699245
169.2	1323.43748849623
169.44	2646.87497699245
183.96	2646.87497699245
184.8	1323.43748849623
185.04	1323.43748849623
185.16	1323.43748849623
185.28	3970.31246548868
185.4	2646.87497699245
195	2646.87497699245
199.08	1323.43748849623
211.08	2646.87497699245
211.2	1323.43748849623
228.84	1323.43748849623
228.96	6617.18744248113
229.08	18528.1248389472
229.2	21174.9998159396
229.32	18528.1248389472
229.44	3970.31246548868
229.56	3970.31246548868
229.68	1323.43748849623
229.8	2646.87497699245
