Mass/Charge	Intensity
58.92	1970.45137176105
59.04	5911.35411528314
62.16	1970.45137176105
70.8	3940.9027435221
71.04	1970.45137176105
72	1970.45137176105
78	1970.45137176105
78.12	3940.9027435221
78.24	1970.45137176105
78.36	3940.9027435221
78.48	9852.25685880524
78.6	33497.6733199378
78.72	61083.9925245925
78.84	175370.172086733
78.96	135961.144651512
79.08	17734.0623458494
79.2	9852.25685880524
79.32	9852.25685880524
79.44	3940.9027435221
79.56	5911.35411528314
81	3940.9027435221
82.56	1970.45137176105
83.04	1970.45137176105
83.4	1970.45137176105
89.16	3940.9027435221
96	5911.35411528314
96.36	3940.9027435221
96.6	1970.45137176105
96.72	11822.7082305663
96.84	25615.8678328936
96.96	80788.5062422029
97.08	17734.0623458494
97.2	1970.45137176105
97.56	5911.35411528314
100.92	1970.45137176105
101.52	1970.45137176105
107.04	5911.35411528314
107.16	11822.7082305663
110.4	1970.45137176105
113.16	3940.9027435221
114	1970.45137176105
114.12	1970.45137176105
114.84	1970.45137176105
114.96	3940.9027435221
115.08	11822.7082305663
116.04	3940.9027435221
116.16	1970.45137176105
120.96	1970.45137176105
122.28	1970.45137176105
127.2	3940.9027435221
128.04	1970.45137176105
129.24	1970.45137176105
130.08	1970.45137176105
131.88	13793.1596023273
132	19704.5137176105
132.12	31527.2219481768
132.24	7881.80548704419
132.96	9852.25685880524
133.08	19704.5137176105
133.2	15763.6109740884
133.32	3940.9027435221
133.56	1970.45137176105
133.68	3940.9027435221
133.8	7881.80548704419
133.92	21674.9650893715
134.04	90640.7631010082
134.16	82758.957613964
134.28	31527.2219481768
134.52	9852.25685880524
134.64	3940.9027435221
134.76	3940.9027435221
134.88	3940.9027435221
135.6	1970.45137176105
138.84	3940.9027435221
138.96	5911.35411528314
139.08	1970.45137176105
141	1970.45137176105
141.12	1970.45137176105
141.24	1970.45137176105
143.16	5911.35411528314
147.12	5911.35411528314
150.72	3940.9027435221
150.96	5911.35411528314
151.08	15763.6109740884
151.2	1970.45137176105
152.16	1970.45137176105
153.24	1970.45137176105
154.08	1970.45137176105
160.08	1970.45137176105
161.88	5911.35411528314
163.2	1970.45137176105
169.08	3940.9027435221
173.04	3940.9027435221
173.16	1970.45137176105
174.96	1970.45137176105
175.08	3940.9027435221
175.2	5911.35411528314
175.92	1970.45137176105
176.16	3940.9027435221
176.28	11822.7082305663
182.16	1970.45137176105
191.16	1970.45137176105
193.08	1970.45137176105
198.12	1970.45137176105
198.84	1970.45137176105
210.12	1970.45137176105
210.96	13793.1596023273
211.08	5911.35411528314
211.2	5911.35411528314
214.2	5911.35411528314
214.32	9852.25685880524
214.44	1970.45137176105
214.8	3940.9027435221
225.96	1970.45137176105
227.16	1970.45137176105
230.28	1970.45137176105
231.12	1970.45137176105
243.36	3940.9027435221
258.24	1970.45137176105
262.2	1970.45137176105
264.12	1970.45137176105
268.2	1970.45137176105
284.16	1970.45137176105
285.6	1970.45137176105
286.08	3940.9027435221
286.2	3940.9027435221
286.8	1970.45137176105
287.16	3940.9027435221
302.52	3940.9027435221
303	1970.45137176105
303.24	3940.9027435221
303.48	1970.45137176105
310.08	3940.9027435221
327.96	1970.45137176105
345.6	1970.45137176105
345.72	21674.9650893715
345.84	88670.3117292471
345.96	185222.428945538
346.08	338917.6359429
346.2	204926.942663149
346.32	74877.1521269198
346.44	33497.6733199378
346.56	41379.478806982
346.68	11822.7082305663
346.8	5911.35411528314
346.92	3940.9027435221
347.16	1970.45137176105
347.28	1970.45137176105
