Mass/Charge	Intensity
78.48	32205.0066645075
78.72	96615.0199935224
78.84	225435.046651552
78.96	354255.073309582
79.92	32205.0066645075
99	64410.0133290149
112.2	32205.0066645075
128.04	64410.0133290149
133.92	64410.0133290149
134.04	289845.059980567
134.16	354255.073309582
134.28	64410.0133290149
135	32205.0066645075
135.12	257640.05331606
135.24	96615.0199935224
135.72	64410.0133290149
143.04	32205.0066645075
144.12	32205.0066645075
146.16	64410.0133290149
158.52	128820.02665803
158.64	32205.0066645075
158.76	193230.039987045
158.88	1803480.37321242
159	4186650.86638597
159.12	2157735.446522
159.24	289845.059980567
159.36	322050.066645075
159.48	128820.02665803
159.6	128820.02665803
159.72	64410.0133290149
159.84	96615.0199935224
159.96	64410.0133290149
160.08	32205.0066645075
174.96	32205.0066645075
175.08	64410.0133290149
176.52	32205.0066645075
176.88	128820.02665803
177	515280.106632119
177.12	193230.039987045
177.24	32205.0066645075
177.36	32205.0066645075
178.44	64410.0133290149
202.8	64410.0133290149
214.2	32205.0066645075
214.92	32205.0066645075
221.04	32205.0066645075
238.8	32205.0066645075
238.92	64410.0133290149
239.04	128820.02665803
239.16	96615.0199935224
239.4	32205.0066645075
254.28	32205.0066645075
272.88	64410.0133290149
273	161025.033322537
273.12	161025.033322537
273.24	225435.046651552
273.84	32205.0066645075
273.96	64410.0133290149
274.08	450870.093303104
274.2	128820.02665803
274.32	32205.0066645075
274.44	32205.0066645075
290.88	32205.0066645075
305.88	64410.0133290149
306	64410.0133290149
306.12	96615.0199935224
306.24	32205.0066645075
306.36	128820.02665803
306.48	32205.0066645075
311.04	32205.0066645075
311.52	64410.0133290149
328.32	32205.0066645075
329.04	96615.0199935224
329.16	257640.05331606
329.28	161025.033322537
329.4	161025.033322537
335.52	32205.0066645075
347.52	32205.0066645075
353.04	32205.0066645075
353.16	64410.0133290149
353.64	32205.0066645075
354	32205.0066645075
370.92	64410.0133290149
407.76	32205.0066645075
407.88	32205.0066645075
408	64410.0133290149
408.24	32205.0066645075
408.36	64410.0133290149
408.6	64410.0133290149
408.72	161025.033322537
408.84	515280.106632119
408.96	2318760.47984454
409.08	2061120.42652848
409.2	611895.126625642
409.32	386460.079974089
409.44	225435.046651552
409.56	64410.0133290149
409.8	32205.0066645075
409.92	32205.0066645075
410.28	32205.0066645075
426.72	128820.02665803
426.84	354255.073309582
426.96	450870.093303104
427.08	418665.086638597
427.2	161025.033322537
427.32	64410.0133290149
427.8	32205.0066645075
488.64	32205.0066645075
488.76	32205.0066645075
488.88	289845.059980567
489	161025.033322537
489.12	64410.0133290149
506.4	32205.0066645075
506.52	450870.093303104
506.64	1417020.29323833
506.76	3671370.75975385
506.88	5249416.08631471
507	3961215.81973442
507.12	1803480.37321242
507.24	869535.179941701
507.36	161025.033322537
507.48	128820.02665803
507.6	64410.0133290149
508.08	64410.0133290149
