Mass/Charge	Intensity
61.8	823.472215064318
72.96	823.472215064318
73.2	1646.94443012864
77.64	2470.41664519296
78.36	823.472215064318
78.48	2470.41664519296
78.6	5764.30550545023
78.72	18116.388731415
78.84	36232.77746283
78.96	55996.1106243737
79.08	9058.1943657075
79.2	1646.94443012864
79.44	3293.88886025727
79.56	3293.88886025727
79.68	823.472215064318
79.8	823.472215064318
79.92	823.472215064318
81.6	823.472215064318
81.96	3293.88886025727
83.04	823.472215064318
84.6	823.472215064318
85.8	823.472215064318
86.04	1646.94443012864
86.88	4117.36107532159
87	2470.41664519296
87.12	1646.94443012864
95.76	823.472215064318
96.36	823.472215064318
96.48	2470.41664519296
96.6	2470.41664519296
96.72	10705.1387958361
96.84	26351.1108820582
96.96	37056.2496778943
97.08	10705.1387958361
97.2	1646.94443012864
97.44	823.472215064318
97.8	1646.94443012864
98.04	823.472215064318
100.92	4940.83329038591
101.04	2470.41664519296
111	823.472215064318
113.16	823.472215064318
113.88	1646.94443012864
114.12	1646.94443012864
126.24	823.472215064318
130.08	823.472215064318
139.08	4940.83329038591
139.2	1646.94443012864
139.92	823.472215064318
140.04	2470.41664519296
140.4	823.472215064318
141.72	823.472215064318
142.08	1646.94443012864
154.2	823.472215064318
159.12	823.472215064318
162.12	823.472215064318
166.2	823.472215064318
168.96	1646.94443012864
169.08	823.472215064318
171	823.472215064318
172.08	823.472215064318
176.04	823.472215064318
178.08	2470.41664519296
178.2	823.472215064318
187.92	823.472215064318
189.6	823.472215064318
197.76	1646.94443012864
198	823.472215064318
198.72	1646.94443012864
199.32	823.472215064318
199.56	1646.94443012864
199.8	823.472215064318
200.04	1646.94443012864
200.16	9058.1943657075
200.28	11528.6110109005
200.4	5764.30550545023
200.52	4117.36107532159
200.64	823.472215064318
202.32	823.472215064318
213.84	1646.94443012864
213.96	823.472215064318
214.08	3293.88886025727
214.2	3293.88886025727
214.32	3293.88886025727
214.44	1646.94443012864
214.56	823.472215064318
214.92	823.472215064318
216	823.472215064318
216.12	823.472215064318
224.04	823.472215064318
224.16	823.472215064318
228.12	823.472215064318
229.92	823.472215064318
242.04	1646.94443012864
242.16	1646.94443012864
242.28	1646.94443012864
259.8	3293.88886025727
259.92	4940.83329038591
260.04	6587.77772051455
260.16	10705.1387958361
260.28	7411.24993557887
260.4	3293.88886025727
260.52	2470.41664519296
