Mass/Charge	Intensity
78.48	2088.09025962738
78.6	4176.18051925476
78.72	8352.36103850952
78.84	14616.6318173917
78.96	54290.3467503119
79.08	2088.09025962738
79.2	8352.36103850952
79.92	2088.09025962738
80.28	2088.09025962738
82.08	4176.18051925476
86.64	2088.09025962738
87	2088.09025962738
87.12	2088.09025962738
88.08	2088.09025962738
88.92	4176.18051925476
90.84	2088.09025962738
90.96	2088.09025962738
91.08	2088.09025962738
96.84	2088.09025962738
97.08	2088.09025962738
99	4176.18051925476
107.16	2088.09025962738
108.12	2088.09025962738
108.24	2088.09025962738
121.08	4176.18051925476
131.04	2088.09025962738
136.8	2088.09025962738
137.16	4176.18051925476
137.64	2088.09025962738
138	4176.18051925476
142.2	2088.09025962738
151.08	2088.09025962738
151.2	4176.18051925476
158.76	2088.09025962738
158.88	14616.6318173917
159	64730.7980484487
159.12	27145.1733751559
159.24	12528.5415577643
159.72	2088.09025962738
159.84	4176.18051925476
160.2	2088.09025962738
162.12	2088.09025962738
162.84	2088.09025962738
163.08	2088.09025962738
164.04	2088.09025962738
164.16	2088.09025962738
165.12	2088.09025962738
167.04	2088.09025962738
167.28	2088.09025962738
175.08	4176.18051925476
176.76	2088.09025962738
176.88	14616.6318173917
177	106492.603240996
177.12	73083.1590869583
177.24	31321.3538944107
177.48	2088.09025962738
177.6	12528.5415577643
179.04	4176.18051925476
179.16	2088.09025962738
183.12	2088.09025962738
184.2	2088.09025962738
188.16	2088.09025962738
192.96	4176.18051925476
193.2	2088.09025962738
193.32	2088.09025962738
199.2	2088.09025962738
201	2088.09025962738
201.12	2088.09025962738
202.2	2088.09025962738
203.64	4176.18051925476
204.96	2088.09025962738
210.24	2088.09025962738
211.08	6264.27077888214
211.2	4176.18051925476
213.24	2088.09025962738
214.2	2088.09025962738
214.32	4176.18051925476
219.24	2088.09025962738
229.2	4176.18051925476
231.12	2088.09025962738
234.96	2088.09025962738
238.2	2088.09025962738
238.92	6264.27077888214
241.08	4176.18051925476
245.16	2088.09025962738
246.6	2088.09025962738
247.08	2088.09025962738
253.32	2088.09025962738
254.88	4176.18051925476
255.96	4176.18051925476
256.08	6264.27077888214
256.92	4176.18051925476
257.16	6264.27077888214
263.04	2088.09025962738
263.16	2088.09025962738
265.44	2088.09025962738
273	2088.09025962738
273.24	2088.09025962738
284.04	2088.09025962738
284.4	2088.09025962738
290.76	4176.18051925476
290.88	22968.9928559012
291	56378.4370099392
291.12	31321.3538944107
291.24	41761.8051925476
291.36	8352.36103850952
291.84	10440.4512981369
301.8	2088.09025962738
307.08	2088.09025962738
307.32	2088.09025962738
308.76	2088.09025962738
308.88	6264.27077888214
325.2	2088.09025962738
326.16	2088.09025962738
327	2088.09025962738
327.24	2088.09025962738
327.36	2088.09025962738
329.04	2088.09025962738
329.28	2088.09025962738
345.12	2088.09025962738
345.36	2088.09025962738
345.6	2088.09025962738
353.04	2088.09025962738
354.96	2088.09025962738
356.88	2088.09025962738
368.88	2088.09025962738
370.92	8352.36103850952
388.2	2088.09025962738
388.44	2088.09025962738
388.56	2088.09025962738
388.68	6264.27077888214
388.8	8352.36103850952
388.92	45937.9857118023
389.04	43849.895452175
389.16	27145.1733751559
389.28	10440.4512981369
389.4	8352.36103850952
389.52	2088.09025962738
389.64	2088.09025962738
426.12	2088.09025962738
698.04	2088.09025962738
