Mass/Charge	Intensity
63.6	11881.271007835
68.64	11881.271007835
78	23762.54201567
78.12	11881.271007835
78.24	35643.813023505
78.36	47525.0840313401
78.48	71287.6260470101
78.6	118812.71007835
78.72	392081.943258556
78.84	1235652.18481484
78.96	1176245.82977567
79.08	297031.775195875
79.2	95050.1680626801
79.32	23762.54201567
79.44	59406.3550391751
79.68	23762.54201567
80.52	23762.54201567
80.64	23762.54201567
80.76	11881.271007835
80.88	11881.271007835
83.88	11881.271007835
84.84	11881.271007835
89.04	23762.54201567
96.24	11881.271007835
96.6	11881.271007835
96.72	35643.813023505
96.84	166337.79410969
96.96	748520.073493606
97.08	190100.33612536
97.2	71287.6260470101
97.32	11881.271007835
97.44	11881.271007835
97.56	11881.271007835
99.12	35643.813023505
100.2	23762.54201567
109.08	23762.54201567
123.24	47525.0840313401
125.04	35643.813023505
129.12	11881.271007835
140.76	11881.271007835
141.12	71287.6260470101
141.24	11881.271007835
141.84	11881.271007835
152.28	11881.271007835
153	11881.271007835
153.24	23762.54201567
167.04	71287.6260470101
168.24	11881.271007835
184.8	35643.813023505
185.04	106931.439070515
185.16	23762.54201567
185.28	11881.271007835
185.4	11881.271007835
185.64	11881.271007835
