Mass/Charge	Intensity
61.8	3440.93747009019
62.88	3440.93747009019
70.68	6881.87494018038
70.92	6881.87494018038
72.24	3440.93747009019
72.36	3440.93747009019
72.84	3440.93747009019
72.96	6881.87494018038
74.88	3440.93747009019
75	3440.93747009019
75.12	3440.93747009019
78.36	6881.87494018038
78.48	3440.93747009019
78.6	13763.7498803608
78.72	27527.4997607215
78.84	120432.811453157
78.96	116991.873983066
79.08	17204.6873504509
79.2	3440.93747009019
79.32	6881.87494018038
80.88	3440.93747009019
83.16	3440.93747009019
83.28	10322.8124102706
86.04	3440.93747009019
86.28	3440.93747009019
87	10322.8124102706
87.12	6881.87494018038
93	10322.8124102706
93.12	3440.93747009019
96.36	6881.87494018038
96.72	10322.8124102706
96.84	58495.9369915332
96.96	72259.686871894
97.08	30968.4372308117
97.56	3440.93747009019
98.76	3440.93747009019
98.88	3440.93747009019
99	6881.87494018038
100.8	3440.93747009019
100.92	3440.93747009019
101.04	3440.93747009019
105	13763.7498803608
109.08	10322.8124102706
111.12	10322.8124102706
113.04	6881.87494018038
113.16	6881.87494018038
115.08	6881.87494018038
115.92	3440.93747009019
117.24	3440.93747009019
120	3440.93747009019
123.48	3440.93747009019
125.04	17204.6873504509
125.16	34409.3747009019
125.28	3440.93747009019
126	6881.87494018038
126.12	24086.5622906313
126.24	10322.8124102706
126.36	6881.87494018038
127.08	10322.8124102706
128.88	6881.87494018038
129	3440.93747009019
131.16	3440.93747009019
132.24	3440.93747009019
133.08	3440.93747009019
137.04	6881.87494018038
142.2	3440.93747009019
145.2	3440.93747009019
145.8	6881.87494018038
154.92	3440.93747009019
155.04	10322.8124102706
157.08	3440.93747009019
165.36	3440.93747009019
166.92	6881.87494018038
167.4	3440.93747009019
168.36	6881.87494018038
168.48	3440.93747009019
169.08	6881.87494018038
171.36	6881.87494018038
173.28	3440.93747009019
174.12	3440.93747009019
175.32	3440.93747009019
175.44	3440.93747009019
176.76	3440.93747009019
177.12	6881.87494018038
178.08	6881.87494018038
181.2	3440.93747009019
183.12	10322.8124102706
184.8	13763.7498803608
184.92	72259.686871894
185.04	141078.436273698
185.16	58495.9369915332
185.28	10322.8124102706
185.4	3440.93747009019
185.52	10322.8124102706
185.64	3440.93747009019
185.76	6881.87494018038
187.32	3440.93747009019
188.04	10322.8124102706
189.24	6881.87494018038
193.44	3440.93747009019
195.12	10322.8124102706
195.24	3440.93747009019
195.96	3440.93747009019
197.28	3440.93747009019
199.08	3440.93747009019
203.04	3440.93747009019
203.16	3440.93747009019
205.2	3440.93747009019
205.32	3440.93747009019
213	3440.93747009019
213.12	6881.87494018038
213.24	10322.8124102706
213.96	3440.93747009019
214.08	13763.7498803608
214.2	13763.7498803608
214.32	17204.6873504509
214.44	6881.87494018038
215.04	17204.6873504509
215.28	130755.623863427
215.4	41291.2496410823
215.52	27527.4997607215
215.64	10322.8124102706
215.76	3440.93747009019
215.88	3440.93747009019
216.24	3440.93747009019
218.16	3440.93747009019
219.36	3440.93747009019
225	3440.93747009019
231.12	3440.93747009019
231.36	3440.93747009019
237.36	6881.87494018038
239.64	3440.93747009019
243.24	6881.87494018038
255.24	3440.93747009019
256.92	6881.87494018038
257.04	6881.87494018038
257.16	10322.8124102706
257.28	10322.8124102706
274.8	3440.93747009019
274.92	24086.5622906313
275.04	58495.9369915332
275.16	92905.3116924351
275.28	58495.9369915332
275.4	20645.6248205411
275.52	30968.4372308117
275.76	3440.93747009019
