Mass/Charge	Intensity
78.6	17863.4204002806
78.84	17863.4204002806
79.08	35726.8408005611
80.16	35726.8408005611
80.88	35726.8408005611
81	17863.4204002806
133.8	35726.8408005611
133.92	35726.8408005611
134.04	196497.624403086
134.16	107180.522401683
134.28	35726.8408005611
136.08	17863.4204002806
136.32	53590.2612008417
146.16	17863.4204002806
148.68	17863.4204002806
156.84	35726.8408005611
158.64	35726.8408005611
158.76	160770.783602525
158.88	500175.771207856
159	1089668.64441711
159.12	732400.236411503
159.24	71453.6816011222
159.36	125043.942801964
159.48	71453.6816011222
159.6	17863.4204002806
160.44	17863.4204002806
160.68	53590.2612008417
160.8	71453.6816011222
160.92	375131.828405892
161.04	821717.338412906
161.16	214361.044803367
161.4	53590.2612008417
163.2	17863.4204002806
165.12	17863.4204002806
174.84	17863.4204002806
174.96	53590.2612008417
175.2	17863.4204002806
176.16	53590.2612008417
176.88	35726.8408005611
177	107180.522401683
177.12	142907.363202244
177.24	17863.4204002806
177.72	17863.4204002806
178.8	53590.2612008417
178.92	53590.2612008417
179.04	89317.1020014028
195.12	17863.4204002806
210.84	17863.4204002806
214.08	17863.4204002806
214.68	17863.4204002806
215.04	17863.4204002806
229.2	35726.8408005611
238.8	17863.4204002806
239.04	53590.2612008417
239.16	17863.4204002806
239.28	17863.4204002806
239.64	17863.4204002806
240.96	125043.942801964
253.32	17863.4204002806
256.2	17863.4204002806
257.04	17863.4204002806
273	17863.4204002806
273.12	35726.8408005611
274.8	17863.4204002806
274.92	53590.2612008417
275.04	125043.942801964
275.16	17863.4204002806
275.28	35726.8408005611
275.88	17863.4204002806
277.44	17863.4204002806
284.04	17863.4204002806
287.76	17863.4204002806
306.12	35726.8408005611
306.24	35726.8408005611
307.08	53590.2612008417
307.2	107180.522401683
307.32	71453.6816011222
312.36	17863.4204002806
327.96	17863.4204002806
328.08	17863.4204002806
328.2	71453.6816011222
328.44	17863.4204002806
329.88	17863.4204002806
330	17863.4204002806
330.12	107180.522401683
330.24	17863.4204002806
330.36	35726.8408005611
334.92	17863.4204002806
354.84	35726.8408005611
354.96	17863.4204002806
373.08	17863.4204002806
407.64	17863.4204002806
407.76	35726.8408005611
407.88	142907.363202244
408	107180.522401683
408.12	53590.2612008417
408.24	35726.8408005611
408.36	35726.8408005611
409.2	35726.8408005611
409.44	17863.4204002806
409.68	71453.6816011222
409.8	250087.885603928
409.92	392995.248806172
410.04	589492.873209258
410.16	375131.828405892
410.28	196497.624403086
410.4	89317.1020014028
410.52	71453.6816011222
410.64	35726.8408005611
425.88	17863.4204002806
426	35726.8408005611
426.12	35726.8408005611
427.68	71453.6816011222
427.8	142907.363202244
427.92	142907.363202244
428.04	89317.1020014028
428.16	89317.1020014028
459.6	17863.4204002806
460.08	17863.4204002806
460.56	17863.4204002806
464.16	17863.4204002806
469.2	17863.4204002806
471.84	35726.8408005611
487.8	17863.4204002806
488.04	17863.4204002806
489.72	17863.4204002806
489.84	71453.6816011222
489.96	35726.8408005611
490.08	17863.4204002806
507.48	71453.6816011222
507.6	589492.873209258
507.72	1536254.15442413
507.84	2608059.37844096
507.96	1947112.82363058
508.08	1589844.41562497
508.2	410858.669206453
508.32	142907.363202244
508.44	71453.6816011222
509.04	17863.4204002806
