Mass/Charge	Intensity
78.96	6587.77772051455
143.04	6587.77772051455
151.8	19763.3331615436
159	6587.77772051455
163.08	13175.5554410291
174.84	6587.77772051455
177.48	13175.5554410291
177.84	6587.77772051455
182.16	6587.77772051455
211.08	6587.77772051455
215.04	6587.77772051455
241.2	6587.77772051455
255.12	6587.77772051455
272.28	19763.3331615436
272.88	6587.77772051455
276	13175.5554410291
297.12	19763.3331615436
306.48	6587.77772051455
325.08	6587.77772051455
328.92	6587.77772051455
333.96	6587.77772051455
338.88	6587.77772051455
345.84	13175.5554410291
345.96	98816.6658077182
346.08	158106.665292349
346.2	105404.443528233
346.32	26351.1108820582
346.44	13175.5554410291
346.56	13175.5554410291
346.68	13175.5554410291
346.92	59289.9994846309
347.04	105404.443528233
347.16	72465.55492566
347.28	98816.6658077182
347.4	19763.3331615436
347.52	6587.77772051455
347.64	6587.77772051455
402.12	6587.77772051455
405.96	13175.5554410291
407.76	6587.77772051455
407.88	6587.77772051455
408	13175.5554410291
408.12	19763.3331615436
408.24	13175.5554410291
408.36	6587.77772051455
408.72	6587.77772051455
409.08	19763.3331615436
418.92	6587.77772051455
419.88	6587.77772051455
436.44	6587.77772051455
436.68	13175.5554410291
436.8	19763.3331615436
436.92	59289.9994846309
437.04	98816.6658077182
437.16	92228.8880872037
437.28	19763.3331615436
437.4	6587.77772051455
437.52	6587.77772051455
437.76	19763.3331615436
437.88	72465.55492566
438	151518.887571835
438.12	138343.332130806
438.24	46114.4440436018
438.36	6587.77772051455
438.48	6587.77772051455
455.28	13175.5554410291
481.2	6587.77772051455
481.68	6587.77772051455
505.44	6587.77772051455
505.92	6587.77772051455
514.68	6587.77772051455
516.72	6587.77772051455
516.96	6587.77772051455
517.68	13175.5554410291
517.92	6587.77772051455
518.04	6587.77772051455
518.16	26351.1108820582
520.8	6587.77772051455
583.68	6587.77772051455
675.12	13175.5554410291
724.44	6587.77772051455
783.84	6587.77772051455
784.56	13175.5554410291
784.68	111992.221248747
784.8	204221.109335951
784.92	540197.773082193
785.04	513846.662200135
785.16	382091.107789844
785.28	105404.443528233
785.4	32938.8886025727
785.52	19763.3331615436
785.64	6587.77772051455
786.96	6587.77772051455
