Mass/Charge	Intensity
78.84	1352.84721046281
133.92	1352.84721046281
134.16	1352.84721046281
158.88	1352.84721046281
159	5411.38884185124
159.12	5411.38884185124
159.24	1352.84721046281
159.36	1352.84721046281
192.96	2705.69442092562
210.96	2705.69442092562
238.8	1352.84721046281
243.12	1352.84721046281
255.12	2705.69442092562
261.12	1352.84721046281
271.08	1352.84721046281
271.2	1352.84721046281
273	2705.69442092562
273.12	1352.84721046281
273.96	1352.84721046281
306	1352.84721046281
321.24	1352.84721046281
327.96	2705.69442092562
328.08	1352.84721046281
328.2	9469.93047323966
328.32	1352.84721046281
328.44	1352.84721046281
328.68	1352.84721046281
328.92	4058.54163138843
329.04	2705.69442092562
329.16	1352.84721046281
329.28	4058.54163138843
329.4	1352.84721046281
335.16	1352.84721046281
339.12	1352.84721046281
339.24	1352.84721046281
340.08	2705.69442092562
340.2	1352.84721046281
346.08	1352.84721046281
346.32	2705.69442092562
347.16	1352.84721046281
347.28	2705.69442092562
352.2	1352.84721046281
356.76	1352.84721046281
357.36	1352.84721046281
361.2	1352.84721046281
371.88	2705.69442092562
380.88	1352.84721046281
381	8117.08326277685
381.12	4058.54163138843
381.36	1352.84721046281
381.96	4058.54163138843
382.08	10822.7776837025
382.2	1352.84721046281
382.32	1352.84721046281
382.8	2705.69442092562
386.04	1352.84721046281
390.12	1352.84721046281
391.08	2705.69442092562
399	1352.84721046281
399.24	2705.69442092562
399.84	1352.84721046281
400.2	1352.84721046281
400.32	1352.84721046281
400.44	2705.69442092562
407.64	1352.84721046281
407.76	13528.4721046281
407.88	37879.7218929587
408	37879.7218929587
408.12	22998.4025778678
408.24	21645.5553674049
408.36	4058.54163138843
408.48	2705.69442092562
408.6	8117.08326277685
408.72	12175.6248941653
408.84	13528.4721046281
408.96	21645.5553674049
409.08	35174.027472033
409.2	12175.6248941653
409.32	1352.84721046281
409.44	2705.69442092562
409.56	1352.84721046281
409.68	2705.69442092562
409.92	1352.84721046281
410.04	1352.84721046281
411	1352.84721046281
418.92	1352.84721046281
423.84	1352.84721046281
425.64	1352.84721046281
425.76	6764.23605231405
425.88	12175.6248941653
426	14881.3193150909
426.12	9469.93047323966
426.24	10822.7776837025
426.36	5411.38884185124
426.48	6764.23605231405
426.72	5411.38884185124
426.84	4058.54163138843
426.96	17587.0137360165
427.08	16234.1665255537
427.2	5411.38884185124
442.92	1352.84721046281
443.04	1352.84721046281
444	2705.69442092562
444.12	1352.84721046281
444.24	1352.84721046281
460.68	12175.6248941653
460.8	10822.7776837025
460.92	22998.4025778678
461.04	13528.4721046281
461.16	13528.4721046281
461.28	5411.38884185124
461.52	1352.84721046281
461.64	2705.69442092562
461.76	1352.84721046281
461.88	14881.3193150909
462	16234.1665255537
462.12	25704.0969987934
462.24	14881.3193150909
462.36	4058.54163138843
462.48	2705.69442092562
471	1352.84721046281
478.8	2705.69442092562
478.92	8117.08326277685
479.04	2705.69442092562
479.16	6764.23605231405
479.4	1352.84721046281
479.88	2705.69442092562
480	4058.54163138843
480.12	8117.08326277685
480.36	1352.84721046281
480.84	1352.84721046281
487.92	1352.84721046281
488.28	1352.84721046281
489.24	2705.69442092562
489.36	1352.84721046281
491.16	1352.84721046281
502.56	1352.84721046281
504.12	1352.84721046281
505.92	1352.84721046281
507.24	1352.84721046281
510	5411.38884185124
510.24	1352.84721046281
510.96	1352.84721046281
517.08	1352.84721046281
535.68	2705.69442092562
535.92	1352.84721046281
536.88	1352.84721046281
541.8	1352.84721046281
542.04	1352.84721046281
549.96	1352.84721046281
552.96	1352.84721046281
559.92	1352.84721046281
575.76	1352.84721046281
587.76	1352.84721046281
606.84	4058.54163138843
611.4	1352.84721046281
618.84	1352.84721046281
619.08	1352.84721046281
622.08	4058.54163138843
649.08	1352.84721046281
649.2	1352.84721046281
655.92	1352.84721046281
660.72	1352.84721046281
672.96	1352.84721046281
673.08	2705.69442092562
673.68	1352.84721046281
673.8	8117.08326277685
673.92	9469.93047323966
675.96	1352.84721046281
687.12	1352.84721046281
708.12	1352.84721046281
711.24	4058.54163138843
728.76	6764.23605231405
728.88	13528.4721046281
729	10822.7776837025
729.12	17587.0137360165
729.24	8117.08326277685
729.36	1352.84721046281
729.48	4058.54163138843
729.6	2705.69442092562
743.04	1352.84721046281
748.92	1352.84721046281
765.6	1352.84721046281
772.68	1352.84721046281
787.8	1352.84721046281
787.92	4058.54163138843
788.16	1352.84721046281
788.28	1352.84721046281
790.8	2705.69442092562
790.92	5411.38884185124
792	1352.84721046281
803.88	1352.84721046281
804	2705.69442092562
808.44	1352.84721046281
808.56	9469.93047323966
808.68	75759.4437859173
808.8	131226.179414892
808.92	181281.526202016
809.04	154224.58199276
809.16	54113.8884185124
809.28	17587.0137360165
809.4	5411.38884185124
809.52	1352.84721046281
809.88	1352.84721046281
811.68	2705.69442092562
