Mass/Charge	Intensity
58.92	10058.6110236782
60	10058.6110236782
68.04	20117.2220473564
69	20117.2220473564
72.96	10058.6110236782
79.68	10058.6110236782
84.96	30175.8330710346
85.32	10058.6110236782
85.56	20117.2220473564
85.68	10058.6110236782
85.92	30175.8330710346
86.04	30175.8330710346
87	50293.055118391
87.84	30175.8330710346
87.96	60351.6661420692
88.56	10058.6110236782
102.96	10058.6110236782
103.92	10058.6110236782
104.04	20117.2220473564
108.24	10058.6110236782
110.76	10058.6110236782
111	60351.6661420692
111.12	10058.6110236782
111.36	10058.6110236782
111.48	20117.2220473564
111.6	10058.6110236782
111.72	10058.6110236782
111.84	30175.8330710346
111.96	120703.332284138
112.08	191113.609449886
112.2	10058.6110236782
112.44	10058.6110236782
112.68	40234.4440947128
118.2	20117.2220473564
129.72	10058.6110236782
129.96	10058.6110236782
130.44	10058.6110236782
146.16	30175.8330710346
163.08	20117.2220473564
174	20117.2220473564
174.12	10058.6110236782
174.24	10058.6110236782
174.6	10058.6110236782
177.24	10058.6110236782
192	30175.8330710346
192.12	80468.8881894256
192.24	40234.4440947128
192.36	40234.4440947128
192.48	10058.6110236782
321.24	10058.6110236782
624.12	10058.6110236782
