Mass/Charge	Intensity
58.8	5529.02772971757
58.92	12440.3123918645
59.16	1382.25693242939
66	1382.25693242939
66.72	1382.25693242939
72.96	1382.25693242939
76.8	2764.51386485878
76.92	2764.51386485878
78.6	1382.25693242939
78.96	9675.79852700574
79.08	1382.25693242939
79.2	1382.25693242939
79.32	1382.25693242939
79.68	1382.25693242939
80.28	1382.25693242939
80.76	2764.51386485878
80.88	2764.51386485878
81.96	1382.25693242939
86.28	1382.25693242939
86.52	4146.77079728817
86.64	5529.02772971757
86.76	4146.77079728817
86.88	55290.2772971757
87	103669.269932204
87.12	33174.1663783054
87.24	2764.51386485878
87.6	2764.51386485878
90.84	1382.25693242939
96.84	1382.25693242939
96.96	4146.77079728817
97.08	4146.77079728817
97.32	1382.25693242939
97.44	1382.25693242939
101.04	2764.51386485878
106.32	2764.51386485878
107.04	2764.51386485878
108.96	1382.25693242939
109.92	4146.77079728817
112.92	1382.25693242939
113.4	2764.51386485878
122.88	1382.25693242939
123.12	1382.25693242939
125.04	2764.51386485878
125.16	4146.77079728817
126.12	1382.25693242939
126.48	1382.25693242939
132.84	1382.25693242939
132.96	9675.79852700574
133.08	4146.77079728817
134.88	2764.51386485878
135	9675.79852700574
135.24	1382.25693242939
138.84	1382.25693242939
139.08	1382.25693242939
139.44	1382.25693242939
140.04	1382.25693242939
141.12	1382.25693242939
149.04	2764.51386485878
150.84	2764.51386485878
150.96	1382.25693242939
151.08	5529.02772971757
151.56	1382.25693242939
154.08	1382.25693242939
168.84	12440.3123918645
168.96	12440.3123918645
169.08	5529.02772971757
169.2	6911.28466214696
169.32	2764.51386485878
169.44	4146.77079728817
