Mass/Charge	Intensity
78.72	2940.97219665828
78.84	47055.5551465325
78.96	47055.5551465325
79.08	26468.7497699245
79.2	2940.97219665828
79.32	8822.91658997484
80.04	11763.8887866331
86.88	8822.91658997484
87.12	2940.97219665828
87.36	2940.97219665828
91.08	2940.97219665828
96.96	5881.94439331656
97.08	2940.97219665828
113.28	2940.97219665828
119.16	2940.97219665828
135.12	2940.97219665828
135.84	2940.97219665828
138.96	2940.97219665828
146.88	2940.97219665828
151.2	2940.97219665828
153	2940.97219665828
158.64	5881.94439331656
158.76	8822.91658997484
158.88	38232.6385565576
159	102934.02688304
159.12	73524.304916457
159.24	29409.7219665828
159.36	2940.97219665828
159.6	2940.97219665828
159.84	2940.97219665828
160.08	2940.97219665828
160.56	5881.94439331656
162.96	2940.97219665828
163.08	5881.94439331656
163.2	2940.97219665828
163.44	5881.94439331656
165.12	2940.97219665828
174.96	5881.94439331656
175.08	5881.94439331656
175.2	5881.94439331656
175.32	2940.97219665828
176.52	2940.97219665828
176.64	2940.97219665828
176.76	17645.8331799497
176.88	76465.2771131153
177	229395.831339346
177.12	82347.2215064318
177.24	26468.7497699245
177.36	5881.94439331656
177.48	5881.94439331656
177.84	2940.97219665828
181.08	2940.97219665828
183	2940.97219665828
192.96	11763.8887866331
193.08	14704.8609832914
197.28	2940.97219665828
199.8	5881.94439331656
200.28	2940.97219665828
210.24	2940.97219665828
210.96	2940.97219665828
211.08	5881.94439331656
211.2	2940.97219665828
213.96	2940.97219665828
216.12	2940.97219665828
230.16	2940.97219665828
234.96	2940.97219665828
246.36	2940.97219665828
257.04	2940.97219665828
259.56	2940.97219665828
261	2940.97219665828
273	5881.94439331656
273.12	5881.94439331656
283.08	2940.97219665828
283.2	2940.97219665828
290.64	8822.91658997484
290.76	26468.7497699245
290.88	49996.5273431908
291	99993.0546863815
291.12	120579.860062989
291.24	29409.7219665828
291.36	8822.91658997484
291.48	5881.94439331656
291.6	5881.94439331656
291.96	2940.97219665828
301.2	2940.97219665828
305.16	2940.97219665828
321.12	2940.97219665828
327	2940.97219665828
328.2	2940.97219665828
329.16	5881.94439331656
330	5881.94439331656
330.12	2940.97219665828
345	2940.97219665828
356.64	2940.97219665828
370.8	11763.8887866331
371.04	2940.97219665828
388.68	20586.805376608
388.8	44114.5829498742
388.92	38232.6385565576
389.04	35291.6663598994
389.16	14704.8609832914
389.28	14704.8609832914
389.4	8822.91658997484
426	2940.97219665828
443.16	5881.94439331656
