Mass/Charge	Intensity
58.92	9322.88186340675
59.04	18645.7637268135
68.28	9322.88186340675
68.52	37291.527453627
68.64	9322.88186340675
68.76	9322.88186340675
68.88	18645.7637268135
69	18645.7637268135
69.12	18645.7637268135
69.24	27968.6455902202
70.68	18645.7637268135
70.92	9322.88186340675
71.04	37291.527453627
71.16	27968.6455902202
71.28	9322.88186340675
72.96	9322.88186340675
73.2	9322.88186340675
74.52	27968.6455902202
78.6	9322.88186340675
78.72	9322.88186340675
78.84	27968.6455902202
79.2	9322.88186340675
79.8	9322.88186340675
79.92	111874.582360881
80.04	83905.9367706607
80.64	9322.88186340675
84	18645.7637268135
84.12	27968.6455902202
84.24	9322.88186340675
84.48	9322.88186340675
84.72	46614.4093170337
84.84	205103.400994948
84.96	671247.494165286
85.08	512758.502487371
85.2	149166.109814508
85.32	46614.4093170337
85.56	18645.7637268135
85.68	27968.6455902202
85.8	9322.88186340675
86.28	9322.88186340675
86.4	9322.88186340675
86.52	9322.88186340675
86.64	9322.88186340675
86.76	18645.7637268135
86.88	74583.054907254
87	177134.755404728
87.12	93228.8186340675
87.24	9322.88186340675
88.08	18645.7637268135
100.92	9322.88186340675
101.04	9322.88186340675
101.16	18645.7637268135
102.72	9322.88186340675
102.84	18645.7637268135
102.96	18645.7637268135
105.12	18645.7637268135
111	9322.88186340675
112.44	9322.88186340675
112.68	18645.7637268135
112.8	46614.4093170337
112.92	139843.227951101
113.04	382238.156399677
113.16	596664.439258032
113.28	74583.054907254
113.52	27968.6455902202
113.64	9322.88186340675
113.76	9322.88186340675
113.88	9322.88186340675
114.12	9322.88186340675
114.48	18645.7637268135
114.72	9322.88186340675
114.84	65260.1730438472
114.96	270363.574038796
115.08	1090777.17801859
115.2	578018.675531218
115.32	121197.464224288
115.44	74583.054907254
115.56	37291.527453627
115.68	9322.88186340675
116.76	9322.88186340675
116.88	9322.88186340675
129	55937.2911804405
129.12	65260.1730438472
129.24	9322.88186340675
129.48	9322.88186340675
130.8	18645.7637268135
130.92	9322.88186340675
131.04	121197.464224288
131.16	195780.519131542
131.28	102551.700497474
131.4	9322.88186340675
131.76	9322.88186340675
132.24	9322.88186340675
132.36	18645.7637268135
134.04	18645.7637268135
156.96	74583.054907254
157.08	195780.519131542
157.2	111874.582360881
157.32	46614.4093170337
157.56	9322.88186340675
157.68	9322.88186340675
157.8	9322.88186340675
158.28	9322.88186340675
159.36	9322.88186340675
164.64	9322.88186340675
174.72	27968.6455902202
174.84	55937.2911804405
174.96	372915.27453627
175.08	1062808.53242837
175.2	1146714.46919903
175.32	382238.156399677
175.44	186457.637268135
175.56	83905.9367706607
175.68	65260.1730438472
175.8	37291.527453627
175.92	9322.88186340675
176.04	9322.88186340675
176.28	18645.7637268135
176.76	9322.88186340675
