Mass/Charge	Intensity
70.32	16057.7081937542
70.44	26762.8469895903
70.56	16057.7081937542
70.68	64230.8327750168
70.8	133814.234947952
70.92	278333.60869174
71.04	256923.331100067
71.16	48173.1245812626
71.28	16057.7081937542
71.4	5352.56939791807
71.64	21410.2775916723
71.76	10705.1387958361
72.48	5352.56939791807
72.72	10705.1387958361
72.84	37467.9857854265
72.96	123109.096152116
73.08	74935.971570853
73.2	16057.7081937542
73.32	26762.8469895903
73.44	5352.56939791807
75	5352.56939791807
88.68	5352.56939791807
88.8	10705.1387958361
88.92	53525.6939791807
89.04	80288.540968771
89.16	5352.56939791807
89.76	5352.56939791807
114.72	10705.1387958361
114.84	74935.971570853
114.96	321154.163875084
115.08	535256.939791807
115.2	80288.540968771
115.32	16057.7081937542
115.44	21410.2775916723
115.56	10705.1387958361
115.68	16057.7081937542
132.72	5352.56939791807
132.84	42820.5551833446
133.08	278333.60869174
133.2	64230.8327750168
133.56	5352.56939791807
133.8	10705.1387958361
134.16	5352.56939791807
