Mass/Charge	Intensity
58.68	666.666660871771
58.92	333.333330435885
59.04	333.333330435885
59.76	666.666660871771
65.4	333.333330435885
69.36	333.333330435885
70.08	333.333330435885
72.84	999.999991307656
84	666.666660871771
86.64	1666.66665217943
86.76	999.999991307656
86.88	4999.99995653828
87	9333.33325220479
87.12	2333.3333130512
87.24	1333.33332174354
87.36	333.333330435885
87.48	666.666660871771
87.6	333.333330435885
87.72	1999.99998261531
87.84	3333.33330435885
87.96	12666.6665565636
88.08	12333.3332261278
88.2	1999.99998261531
88.32	1333.33332174354
88.44	666.666660871771
88.56	999.999991307656
88.68	333.333330435885
90	333.333330435885
94.08	333.333330435885
102	666.666660871771
102.12	1333.33332174354
103.92	666.666660871771
104.04	666.666660871771
104.88	333.333330435885
118.44	333.333330435885
120.12	666.666660871771
129.72	333.333330435885
129.96	333.333330435885
130.08	999.999991307656
130.2	666.666660871771
147.96	333.333330435885
148.08	1333.33332174354
148.2	999.999991307656
148.44	333.333330435885
