Mass/Charge	Intensity
68.76	666.666660871771
68.88	666.666660871771
69	666.666660871771
86.28	666.666660871771
86.4	2666.66664348708
86.52	3999.99996523062
86.64	9333.33325220479
86.76	18666.6665044096
86.88	48666.6662436393
87	72666.666035023
87.12	28333.3330870503
87.24	10333.3332435124
87.36	2999.99997392297
87.48	2666.66664348708
87.6	2333.3333130512
87.72	333.333330435885
87.84	666.666660871771
88.08	333.333330435885
88.32	333.333330435885
88.56	666.666660871771
88.68	666.666660871771
88.92	333.333330435885
89.52	333.333330435885
90.6	333.333330435885
91.56	333.333330435885
