Mass/Charge	Intensity
58.32	1117.56943473015
62.16	1117.56943473015
62.4	1117.56943473015
68.88	2235.13886946029
69.12	1117.56943473015
78.24	2235.13886946029
78.36	2235.13886946029
78.48	4470.27773892058
78.6	3352.70830419044
78.72	8940.55547784117
78.84	23468.9581293331
78.96	58113.6106059676
79.08	1117.56943473015
79.2	2235.13886946029
79.92	4470.27773892058
80.4	1117.56943473015
80.76	2235.13886946029
80.88	2235.13886946029
83.04	4470.27773892058
84.96	3352.70830419044
87	1117.56943473015
89.04	1117.56943473015
96	2235.13886946029
96.12	1117.56943473015
96.6	2235.13886946029
96.72	4470.27773892058
96.84	18998.6803904125
96.96	35762.2219113647
97.08	11175.6943473015
97.2	1117.56943473015
97.44	1117.56943473015
97.68	1117.56943473015
97.8	1117.56943473015
98.04	2235.13886946029
98.4	2235.13886946029
98.88	2235.13886946029
102.96	1117.56943473015
109.08	2235.13886946029
110.88	1117.56943473015
111.12	1117.56943473015
112.08	2235.13886946029
113.04	1117.56943473015
113.28	1117.56943473015
115.08	1117.56943473015
125.16	2235.13886946029
125.4	1117.56943473015
129.24	2235.13886946029
130.2	3352.70830419044
139.08	4470.27773892058
139.2	2235.13886946029
140.88	3352.70830419044
141	2235.13886946029
143.04	1117.56943473015
153	1117.56943473015
153.24	1117.56943473015
155.04	1117.56943473015
155.16	2235.13886946029
156	3352.70830419044
157.92	1117.56943473015
158.04	2235.13886946029
158.16	5587.84717365073
158.28	2235.13886946029
158.52	2235.13886946029
165	1117.56943473015
167.04	1117.56943473015
169.08	1117.56943473015
173.04	1117.56943473015
173.28	4470.27773892058
179.04	4470.27773892058
179.16	2235.13886946029
179.4	1117.56943473015
180.12	1117.56943473015
185.04	1117.56943473015
189.24	1117.56943473015
190.92	3352.70830419044
191.04	8940.55547784117
191.16	7822.98604311102
191.28	3352.70830419044
191.4	1117.56943473015
191.64	1117.56943473015
198.96	4470.27773892058
199.08	7822.98604311102
199.2	3352.70830419044
199.56	1117.56943473015
201	1117.56943473015
201.24	1117.56943473015
203.28	1117.56943473015
206.64	3352.70830419044
206.88	1117.56943473015
207	3352.70830419044
207.12	3352.70830419044
209.28	1117.56943473015
211.92	1117.56943473015
214.8	1117.56943473015
215.04	2235.13886946029
216.84	1117.56943473015
226.08	1117.56943473015
228.96	3352.70830419044
229.08	10058.1249125713
229.2	3352.70830419044
229.32	7822.98604311102
229.44	3352.70830419044
229.56	1117.56943473015
230.16	1117.56943473015
234.96	1117.56943473015
235.08	3352.70830419044
245.28	1117.56943473015
251.4	1117.56943473015
253.08	3352.70830419044
259.08	1117.56943473015
270.84	2235.13886946029
270.96	3352.70830419044
271.08	3352.70830419044
288.72	1117.56943473015
288.96	10058.1249125713
289.08	18998.6803904125
289.2	7822.98604311102
289.32	7822.98604311102
289.56	2235.13886946029
