Mass/Charge	Intensity
78.84	3940.9027435221
133.92	3940.9027435221
134.16	19704.5137176105
159	3940.9027435221
159.12	19704.5137176105
175.2	3940.9027435221
176.88	7881.80548704419
261.24	3940.9027435221
272.88	3940.9027435221
273	3940.9027435221
273.24	3940.9027435221
286.08	3940.9027435221
309.96	3940.9027435221
310.08	11822.7082305663
321	3940.9027435221
327.96	23645.4164611326
328.08	11822.7082305663
328.2	7881.80548704419
328.32	15763.6109740884
328.44	7881.80548704419
329.04	7881.80548704419
329.16	3940.9027435221
329.4	3940.9027435221
329.64	7881.80548704419
329.76	3940.9027435221
330	3940.9027435221
330.24	3940.9027435221
339	7881.80548704419
339.36	7881.80548704419
340.08	7881.80548704419
341.16	7881.80548704419
341.28	23645.4164611326
345.96	3940.9027435221
346.08	7881.80548704419
346.32	3940.9027435221
347.04	3940.9027435221
347.16	3940.9027435221
352.92	11822.7082305663
353.16	7881.80548704419
354.96	3940.9027435221
357.6	3940.9027435221
357.84	3940.9027435221
359.4	3940.9027435221
367.56	3940.9027435221
373.2	3940.9027435221
380.88	3940.9027435221
381	7881.80548704419
381.12	23645.4164611326
381.84	3940.9027435221
382.08	3940.9027435221
382.32	3940.9027435221
382.92	7881.80548704419
383.04	11822.7082305663
383.16	15763.6109740884
383.4	3940.9027435221
383.76	3940.9027435221
386.04	7881.80548704419
390.96	3940.9027435221
400.32	3940.9027435221
400.92	11822.7082305663
407.52	3940.9027435221
407.64	27586.3192046547
407.76	35468.1246916989
407.88	51231.7356657872
408	110345.276818619
408.12	114286.179562141
408.24	51231.7356657872
408.36	19704.5137176105
408.48	23645.4164611326
408.6	7881.80548704419
408.72	7881.80548704419
408.84	15763.6109740884
408.96	27586.3192046547
409.08	51231.7356657872
409.2	27586.3192046547
409.32	3940.9027435221
409.56	7881.80548704419
409.68	11822.7082305663
409.8	15763.6109740884
409.92	39409.027435221
410.04	23645.4164611326
410.16	23645.4164611326
410.28	23645.4164611326
410.4	11822.7082305663
410.76	3940.9027435221
420	3940.9027435221
420.12	3940.9027435221
420.96	11822.7082305663
425.52	3940.9027435221
425.64	7881.80548704419
425.76	27586.3192046547
425.88	106404.374075097
426	82758.957613964
426.12	78818.0548704419
426.24	11822.7082305663
426.36	27586.3192046547
426.6	3940.9027435221
426.72	7881.80548704419
426.84	3940.9027435221
426.96	19704.5137176105
427.08	3940.9027435221
427.2	11822.7082305663
427.44	3940.9027435221
427.56	3940.9027435221
427.68	7881.80548704419
427.8	27586.3192046547
427.92	31527.2219481768
428.04	11822.7082305663
428.16	19704.5137176105
428.28	7881.80548704419
428.52	3940.9027435221
443.76	3940.9027435221
443.88	3940.9027435221
444.96	7881.80548704419
447.96	3940.9027435221
460.68	3940.9027435221
460.8	3940.9027435221
460.92	35468.1246916989
461.04	19704.5137176105
461.16	35468.1246916989
461.28	3940.9027435221
461.76	3940.9027435221
461.88	3940.9027435221
462	19704.5137176105
462.12	19704.5137176105
462.24	15763.6109740884
462.36	3940.9027435221
462.72	15763.6109740884
462.84	27586.3192046547
462.96	63054.4438963535
463.08	47290.8329222651
463.2	55172.6384093093
463.32	19704.5137176105
463.44	19704.5137176105
463.56	3940.9027435221
463.92	7881.80548704419
464.04	3940.9027435221
469.8	3940.9027435221
470.04	3940.9027435221
470.28	3940.9027435221
478.8	3940.9027435221
478.92	3940.9027435221
479.16	7881.80548704419
479.88	7881.80548704419
480	15763.6109740884
480.48	3940.9027435221
480.6	7881.80548704419
480.72	3940.9027435221
480.84	19704.5137176105
480.96	23645.4164611326
481.08	39409.027435221
481.2	3940.9027435221
481.32	7881.80548704419
487.56	3940.9027435221
487.68	3940.9027435221
487.92	11822.7082305663
488.04	3940.9027435221
489	3940.9027435221
489.84	3940.9027435221
503.28	3940.9027435221
506.04	3940.9027435221
506.28	3940.9027435221
507.12	3940.9027435221
510.48	3940.9027435221
511.08	3940.9027435221
511.8	7881.80548704419
541.08	3940.9027435221
576.12	3940.9027435221
576.96	7881.80548704419
577.68	3940.9027435221
614.28	3940.9027435221
617.88	3940.9027435221
619.8	3940.9027435221
650.28	3940.9027435221
673.8	3940.9027435221
673.92	3940.9027435221
674.88	3940.9027435221
675	3940.9027435221
675.12	7881.80548704419
692.28	3940.9027435221
711.96	7881.80548704419
712.32	3940.9027435221
727.92	3940.9027435221
728.28	3940.9027435221
729.72	23645.4164611326
729.84	31527.2219481768
729.96	66995.3466398756
730.08	43349.930178743
730.2	19704.5137176105
730.32	15763.6109740884
730.44	3940.9027435221
730.56	3940.9027435221
731.04	3940.9027435221
731.16	3940.9027435221
747.12	7881.80548704419
791.88	3940.9027435221
792	7881.80548704419
792.12	11822.7082305663
792.24	7881.80548704419
794.16	3940.9027435221
807.84	3940.9027435221
808.8	3940.9027435221
808.92	3940.9027435221
809.16	3940.9027435221
809.52	11822.7082305663
809.64	55172.6384093093
809.76	307390.413994723
809.88	539903.675862527
810	614780.827989447
810.12	409853.885326298
810.24	181281.526202016
810.36	98522.5685880524
810.48	11822.7082305663
810.6	31527.2219481768
810.72	7881.80548704419
810.84	7881.80548704419
