Mass/Charge	Intensity
59.04	1823.40276192813
61.8	1823.40276192813
72.96	3646.80552385627
78.48	3646.80552385627
78.72	27351.041428922
78.84	40114.8607624189
78.96	36468.0552385627
79.08	14587.2220954251
79.2	1823.40276192813
79.32	1823.40276192813
79.8	1823.40276192813
79.92	3646.80552385627
86.88	1823.40276192813
96.36	1823.40276192813
96.48	3646.80552385627
96.72	7293.61104771254
96.84	20057.4303812095
96.96	61995.6939055566
97.08	12763.8193334969
97.56	3646.80552385627
103.08	1823.40276192813
106.92	1823.40276192813
125.4	1823.40276192813
126	3646.80552385627
127.08	3646.80552385627
138.96	9117.01380964067
139.08	3646.80552385627
139.56	5470.2082857844
140.28	1823.40276192813
142.92	5470.2082857844
154.92	5470.2082857844
157.08	1823.40276192813
157.32	3646.80552385627
158.16	3646.80552385627
159.12	1823.40276192813
173.04	3646.80552385627
174.96	1823.40276192813
179.04	1823.40276192813
189	1823.40276192813
189.24	1823.40276192813
191.16	10940.4165715688
191.28	7293.61104771254
191.76	1823.40276192813
193.08	1823.40276192813
197.16	1823.40276192813
199.08	5470.2082857844
199.2	1823.40276192813
200.04	3646.80552385627
206.76	1823.40276192813
214.92	1823.40276192813
228.36	1823.40276192813
228.84	3646.80552385627
228.96	3646.80552385627
229.08	5470.2082857844
229.2	21880.8331431376
229.32	12763.8193334969
229.44	1823.40276192813
229.68	3646.80552385627
233.16	1823.40276192813
243.84	3646.80552385627
261.12	1823.40276192813
270.96	1823.40276192813
271.2	7293.61104771254
271.32	1823.40276192813
288.84	9117.01380964067
288.96	36468.0552385627
289.08	23704.2359050657
289.2	5470.2082857844
289.32	7293.61104771254
289.44	5470.2082857844
289.8	1823.40276192813
