Mass/Charge	Intensity
58.92	3117.43052845778
61.32	3117.43052845778
61.56	3117.43052845778
61.92	3117.43052845778
62.04	3117.43052845778
62.16	3117.43052845778
69.72	3117.43052845778
71.04	6234.86105691555
72.84	6234.86105691555
72.96	6234.86105691555
73.08	6234.86105691555
75	3117.43052845778
78.36	9352.29158537333
78.48	3117.43052845778
78.6	12469.7221138311
78.72	18704.5831707467
78.84	59231.1800406978
78.96	77935.7632114444
79.08	9352.29158537333
79.2	3117.43052845778
81	9352.29158537333
87	6234.86105691555
87.36	6234.86105691555
88.2	3117.43052845778
89.16	3117.43052845778
93	6234.86105691555
94.92	3117.43052845778
96.12	3117.43052845778
96.72	9352.29158537333
96.84	18704.5831707467
96.96	40526.5968699511
97.08	21822.0136992044
97.2	3117.43052845778
98.04	6234.86105691555
98.64	3117.43052845778
98.76	3117.43052845778
99	6234.86105691555
100.92	3117.43052845778
101.16	3117.43052845778
107.16	3117.43052845778
111	6234.86105691555
111.24	3117.43052845778
113.16	6234.86105691555
115.08	3117.43052845778
115.2	3117.43052845778
115.32	3117.43052845778
116.04	3117.43052845778
117.96	3117.43052845778
120.36	9352.29158537333
120.84	3117.43052845778
123.96	3117.43052845778
124.08	3117.43052845778
124.2	3117.43052845778
124.8	3117.43052845778
124.92	3117.43052845778
125.04	6234.86105691555
125.16	31174.3052845778
126.12	40526.5968699511
126.24	24939.4442276622
126.36	12469.7221138311
126.6	3117.43052845778
126.84	3117.43052845778
127.08	3117.43052845778
127.44	3117.43052845778
128.04	3117.43052845778
128.16	6234.86105691555
132.84	6234.86105691555
138.96	3117.43052845778
141	3117.43052845778
141.12	6234.86105691555
142.08	3117.43052845778
142.2	9352.29158537333
143.04	6234.86105691555
143.16	3117.43052845778
145.08	3117.43052845778
145.2	3117.43052845778
151.08	3117.43052845778
153.12	3117.43052845778
155.04	3117.43052845778
156.24	3117.43052845778
157.2	6234.86105691555
159.12	12469.7221138311
161.04	3117.43052845778
165.12	3117.43052845778
167.16	3117.43052845778
169.2	3117.43052845778
169.44	3117.43052845778
170.88	3117.43052845778
171.12	3117.43052845778
173.76	3117.43052845778
174.24	3117.43052845778
175.08	3117.43052845778
175.44	3117.43052845778
177	3117.43052845778
177.12	6234.86105691555
181.32	3117.43052845778
184.8	3117.43052845778
184.92	9352.29158537333
185.04	37409.1663414933
185.16	18704.5831707467
185.28	3117.43052845778
185.52	3117.43052845778
185.64	3117.43052845778
188.28	6234.86105691555
192.12	6234.86105691555
193.08	3117.43052845778
195.12	3117.43052845778
195.24	3117.43052845778
197.16	3117.43052845778
197.28	3117.43052845778
199.2	3117.43052845778
202.92	9352.29158537333
203.04	9352.29158537333
203.16	6234.86105691555
203.4	6234.86105691555
207.48	3117.43052845778
210.24	3117.43052845778
212.88	3117.43052845778
213	12469.7221138311
213.12	12469.7221138311
214.08	6234.86105691555
214.2	24939.4442276622
214.32	6234.86105691555
214.56	3117.43052845778
214.68	3117.43052845778
215.04	15587.1526422889
215.16	68583.4716260711
215.28	81053.1937399022
215.4	71700.9021545289
215.52	21822.0136992044
215.64	3117.43052845778
215.76	3117.43052845778
215.88	6234.86105691555
219.36	3117.43052845778
231.12	6234.86105691555
231.24	3117.43052845778
231.48	3117.43052845778
231.96	3117.43052845778
256.8	9352.29158537333
257.04	3117.43052845778
257.16	6234.86105691555
257.52	3117.43052845778
257.64	6234.86105691555
257.88	3117.43052845778
274.56	3117.43052845778
274.8	3117.43052845778
274.92	6234.86105691555
275.04	43644.0273984089
275.16	105992.637967564
275.28	105992.637967564
275.4	52996.3189837822
275.52	18704.5831707467
275.64	12469.7221138311
275.76	6234.86105691555
276	3117.43052845778
