Mass/Charge	Intensity
78.36	56479.8397868356
78.72	225919.359147342
78.84	282399.198934178
78.96	508318.55808152
79.2	56479.8397868356
79.44	56479.8397868356
108.12	56479.8397868356
111	112959.679573671
111.12	56479.8397868356
132.84	56479.8397868356
132.96	225919.359147342
133.08	282399.198934178
133.2	56479.8397868356
147	56479.8397868356
149.88	56479.8397868356
150.12	677758.077442027
150.24	790717.757015698
150.36	112959.679573671
150.48	56479.8397868356
150.96	112959.679573671
158.64	56479.8397868356
158.76	734237.917228863
158.88	1637915.35381823
159	6777580.77442027
159.12	5026705.74102837
159.24	1299036.31509722
159.36	621278.237655191
159.48	508318.55808152
159.6	282399.198934178
159.72	169439.519360507
163.44	56479.8397868356
175.08	112959.679573671
176.76	56479.8397868356
176.88	169439.519360507
177	395358.878507849
177.12	790717.757015698
177.24	338879.038721013
177.36	112959.679573671
177.6	56479.8397868356
178.8	56479.8397868356
178.92	56479.8397868356
193.2	56479.8397868356
193.32	56479.8397868356
211.08	56479.8397868356
220.92	56479.8397868356
228	56479.8397868356
228.12	112959.679573671
229.92	56479.8397868356
230.04	56479.8397868356
230.16	112959.679573671
238.8	112959.679573671
238.92	451838.718294685
239.04	169439.519360507
239.16	112959.679573671
239.52	56479.8397868356
239.64	56479.8397868356
239.76	56479.8397868356
250.08	56479.8397868356
255.12	56479.8397868356
255.36	56479.8397868356
257.04	56479.8397868356
272.76	112959.679573671
272.88	225919.359147342
273	395358.878507849
273.12	508318.55808152
273.24	56479.8397868356
273.6	56479.8397868356
291	112959.679573671
292.08	56479.8397868356
307.92	112959.679573671
326.16	56479.8397868356
326.28	112959.679573671
326.64	56479.8397868356
327.24	56479.8397868356
343.92	169439.519360507
344.04	734237.917228863
344.16	338879.038721013
344.28	169439.519360507
344.4	169439.519360507
344.52	112959.679573671
353.04	56479.8397868356
361.92	169439.519360507
362.04	56479.8397868356
362.16	56479.8397868356
371.04	112959.679573671
371.16	56479.8397868356
406.08	56479.8397868356
406.2	56479.8397868356
423.48	56479.8397868356
423.6	282399.198934178
423.72	677758.077442027
423.84	2711032.30976811
423.96	3388790.38721013
424.08	3275830.70763646
424.2	1581435.5140314
424.32	282399.198934178
424.44	508318.55808152
424.92	56479.8397868356
441.6	56479.8397868356
441.72	451838.718294685
441.84	508318.55808152
441.96	451838.718294685
442.08	621278.237655191
442.2	451838.718294685
486.36	56479.8397868356
503.64	56479.8397868356
503.76	508318.55808152
503.88	169439.519360507
504	225919.359147342
504.12	225919.359147342
504.48	56479.8397868356
521.4	112959.679573671
521.52	338879.038721013
521.64	2711032.30976811
521.76	7229419.49271495
521.88	8980294.52610686
522	5986863.01740457
522.12	3445270.22699697
522.24	1411995.99467089
522.36	225919.359147342
522.48	225919.359147342
522.6	56479.8397868356
522.84	56479.8397868356
523.08	225919.359147342
