Mass/Charge	Intensity
62.76	8840.71992315342
77.76	8840.71992315342
77.88	8840.71992315342
78.12	26522.1597694603
78.24	70725.7593852274
78.36	61885.039462074
78.48	79566.4793083808
78.6	61885.039462074
78.72	256380.877771449
78.84	813346.232930115
78.96	1334948.70839617
79.08	371310.236772444
79.2	70725.7593852274
79.32	53044.3195389205
79.44	35362.8796926137
79.56	26522.1597694603
79.68	17681.4398463068
80.04	8840.71992315342
80.4	8840.71992315342
81.84	17681.4398463068
83.04	8840.71992315342
95.04	8840.71992315342
96.84	8840.71992315342
108.72	8840.71992315342
122.88	8840.71992315342
123	8840.71992315342
123.12	8840.71992315342
123.96	8840.71992315342
149.04	26522.1597694603
149.28	8840.71992315342
149.4	8840.71992315342
151.08	26522.1597694603
152.16	8840.71992315342
165	17681.4398463068
165.12	26522.1597694603
166.92	8840.71992315342
167.28	35362.8796926137
