Mass/Charge	Intensity
61.44	2293.95831339346
61.68	4587.91662678692
61.8	4587.91662678692
61.92	13763.7498803608
62.04	2293.95831339346
62.16	9175.83325357383
62.4	2293.95831339346
68.04	2293.95831339346
69.84	4587.91662678692
70.32	2293.95831339346
72.12	2293.95831339346
72.72	2293.95831339346
72.84	6881.87494018038
72.96	11469.7915669673
74.88	2293.95831339346
75	13763.7498803608
78.36	2293.95831339346
78.48	4587.91662678692
78.72	22939.5831339346
78.96	45879.1662678692
79.08	11469.7915669673
79.2	16057.7081937542
79.68	2293.95831339346
86.88	6881.87494018038
87	6881.87494018038
87.12	2293.95831339346
87.24	2293.95831339346
96.6	4587.91662678692
96.84	6881.87494018038
96.96	18351.6665071477
99	2293.95831339346
102.6	2293.95831339346
107.28	2293.95831339346
125.04	4587.91662678692
126.96	2293.95831339346
127.08	2293.95831339346
127.2	2293.95831339346
132.72	4587.91662678692
132.84	22939.5831339346
132.96	96346.2491625253
133.08	268393.122667035
133.2	158283.123624149
133.32	36703.3330142953
133.44	18351.6665071477
133.56	6881.87494018038
133.68	2293.95831339346
133.8	11469.7915669673
133.92	4587.91662678692
134.16	4587.91662678692
135.12	2293.95831339346
135.24	2293.95831339346
139.44	2293.95831339346
146.52	2293.95831339346
150.96	6881.87494018038
151.08	2293.95831339346
151.2	2293.95831339346
153.24	2293.95831339346
157.92	4587.91662678692
158.16	4587.91662678692
158.28	6881.87494018038
163.08	4587.91662678692
168.96	4587.91662678692
169.08	4587.91662678692
169.2	4587.91662678692
171.12	2293.95831339346
185.16	4587.91662678692
185.64	4587.91662678692
210.96	4587.91662678692
211.08	4587.91662678692
228.84	4587.91662678692
228.96	4587.91662678692
229.08	4587.91662678692
229.2	16057.7081937542
229.32	18351.6665071477
229.44	9175.83325357383
229.56	2293.95831339346
