Mass/Charge	Intensity
56.88	735.24304916457
58.8	735.24304916457
58.92	1470.48609832914
60.96	2205.72914749371
61.08	735.24304916457
62.88	735.24304916457
66	735.24304916457
68.88	2940.97219665828
69	735.24304916457
70.56	735.24304916457
70.68	2205.72914749371
70.8	735.24304916457
70.92	2205.72914749371
71.04	1470.48609832914
71.16	735.24304916457
72.12	2205.72914749371
72.36	1470.48609832914
72.48	7352.4304916457
72.6	12499.1318357977
72.72	22792.5345241017
72.84	73524.304916457
72.96	120579.860062989
73.08	56613.7147856719
73.2	17645.8331799497
73.32	8822.91658997484
73.44	3676.21524582285
73.56	6617.18744248113
73.68	735.24304916457
73.8	1470.48609832914
74.52	735.24304916457
74.64	1470.48609832914
76.56	1470.48609832914
80.4	735.24304916457
80.64	735.24304916457
80.88	4411.45829498742
81	6617.18744248113
81.12	2940.97219665828
81.48	735.24304916457
82.32	2205.72914749371
82.8	2205.72914749371
82.92	12499.1318357977
83.04	6617.18744248113
83.16	2940.97219665828
84.24	735.24304916457
84.96	1470.48609832914
86.4	735.24304916457
86.76	2940.97219665828
86.88	8822.91658997484
87	17645.8331799497
87.12	8822.91658997484
87.48	1470.48609832914
87.6	735.24304916457
90.84	1470.48609832914
98.76	735.24304916457
98.88	5146.70134415199
99	13969.6179341268
99.12	3676.21524582285
99.24	735.24304916457
99.36	735.24304916457
99.96	2205.72914749371
100.56	1470.48609832914
100.8	2940.97219665828
100.92	11763.8887866331
101.04	19851.5623274434
101.16	5881.94439331656
101.28	1470.48609832914
101.4	2205.72914749371
101.52	735.24304916457
117.12	1470.48609832914
126.72	735.24304916457
127.2	2205.72914749371
129.96	735.24304916457
144.72	2205.72914749371
144.84	3676.21524582285
144.96	8087.67354081027
145.08	30880.2080649119
145.2	13969.6179341268
145.32	2940.97219665828
145.44	735.24304916457
145.56	735.24304916457
145.68	2205.72914749371
146.04	1470.48609832914
