Mass/Charge	Intensity
58.68	1882.2222058613
60.24	3764.4444117226
60.6	1882.2222058613
61.08	3764.4444117226
61.32	3764.4444117226
61.56	3764.4444117226
61.8	5646.6666175839
61.92	20704.4442644743
62.04	5646.6666175839
71.04	1882.2222058613
71.28	1882.2222058613
73.68	1882.2222058613
73.92	3764.4444117226
74.04	5646.6666175839
74.4	1882.2222058613
81.24	3764.4444117226
81.6	5646.6666175839
81.96	5646.6666175839
82.08	5646.6666175839
83.04	3764.4444117226
83.88	7528.8888234452
84	5646.6666175839
84.12	3764.4444117226
84.24	1882.2222058613
84.36	1882.2222058613
84.84	1882.2222058613
84.96	3764.4444117226
85.08	1882.2222058613
86.16	1882.2222058613
99.96	3764.4444117226
100.08	3764.4444117226
101.04	1882.2222058613
101.4	3764.4444117226
101.52	22586.6664703356
101.64	15057.7776468904
101.76	60231.1105875616
101.88	250335.553379553
102	440439.996171544
102.12	229631.109115079
102.24	45173.3329406712
102.36	30115.5552937808
102.48	22586.6664703356
102.6	22586.6664703356
102.72	9411.1110293065
102.84	13175.5554410291
102.96	1882.2222058613
103.32	1882.2222058613
103.44	3764.4444117226
105	3764.4444117226
106.92	1882.2222058613
107.16	3764.4444117226
107.52	3764.4444117226
107.76	1882.2222058613
108.12	3764.4444117226
127.56	7528.8888234452
127.68	5646.6666175839
127.8	31997.7774996421
127.92	154342.220880627
128.04	374562.218966399
128.16	159988.88749821
128.28	39526.6663230873
128.4	22586.6664703356
128.52	15057.7776468904
128.64	11293.3332351678
128.76	3764.4444117226
128.88	7528.8888234452
129	5646.6666175839
129.12	1882.2222058613
129.36	1882.2222058613
130.2	1882.2222058613
133.32	1882.2222058613
145.32	1882.2222058613
145.68	3764.4444117226
145.8	11293.3332351678
145.92	47055.5551465325
146.04	126108.887792707
146.16	159988.88749821
146.28	37644.444117226
146.4	9411.1110293065
146.52	5646.6666175839
146.76	7528.8888234452
146.88	1882.2222058613
147	1882.2222058613
148.32	1882.2222058613
