Mass/Charge	Intensity
54.48	558.784717365073
58.8	1117.56943473015
69	558.784717365073
70.92	1117.56943473015
71.04	1117.56943473015
72.24	1117.56943473015
72.36	1117.56943473015
72.48	5587.84717365073
72.6	11734.4790646665
72.72	36879.7913460948
72.84	51966.9787149518
72.96	83258.9228873959
73.08	25145.3122814283
73.2	2235.13886946029
73.32	1676.35415209522
73.56	1676.35415209522
73.68	2235.13886946029
73.8	558.784717365073
74.28	1117.56943473015
74.52	558.784717365073
75.12	558.784717365073
75.24	558.784717365073
75.6	1117.56943473015
75.96	558.784717365073
78.96	558.784717365073
80.76	558.784717365073
81.96	558.784717365073
82.32	1117.56943473015
82.92	1117.56943473015
83.04	3352.70830419044
83.16	1676.35415209522
83.28	1117.56943473015
84.84	1117.56943473015
84.96	3352.70830419044
85.08	1676.35415209522
86.4	558.784717365073
86.64	1117.56943473015
86.76	558.784717365073
86.88	2793.92358682537
87	13969.6179341268
87.12	3911.49302155551
87.6	1117.56943473015
95.88	558.784717365073
98.52	558.784717365073
98.76	1676.35415209522
98.88	558.784717365073
99	3352.70830419044
99.12	1117.56943473015
100.44	558.784717365073
100.56	558.784717365073
100.8	3352.70830419044
100.92	7822.98604311102
101.04	12293.2637820316
101.16	7264.20132574595
102.84	558.784717365073
102.96	2793.92358682537
114.96	558.784717365073
125.16	1117.56943473015
126.96	1117.56943473015
127.08	1676.35415209522
127.2	558.784717365073
127.92	558.784717365073
144.84	558.784717365073
144.96	3352.70830419044
145.08	20116.2498251426
145.2	17322.3262383173
145.32	558.784717365073
145.44	2793.92358682537
145.56	558.784717365073
145.68	558.784717365073
145.8	1117.56943473015
146.76	558.784717365073
744.84	558.784717365073
