Mass/Charge	Intensity
70.8	1588.12498619547
78.24	1588.12498619547
78.72	1588.12498619547
78.84	6352.49994478188
96.72	1588.12498619547
96.96	3176.24997239094
109.08	1588.12498619547
147	1588.12498619547
159	3176.24997239094
162.96	1588.12498619547
169.08	1588.12498619547
195	6352.49994478188
195.12	3176.24997239094
206.76	1588.12498619547
215.28	3176.24997239094
230.04	1588.12498619547
241.2	1588.12498619547
243.12	1588.12498619547
255.12	1588.12498619547
272.88	1588.12498619547
282	1588.12498619547
310.08	1588.12498619547
315	1588.12498619547
320.16	1588.12498619547
328.32	1588.12498619547
329.04	1588.12498619547
338.88	1588.12498619547
339.24	1588.12498619547
344.04	1588.12498619547
345.72	1588.12498619547
345.84	9528.74991717283
345.96	34938.7496963004
346.08	66701.2494202098
346.2	41291.2496410823
346.32	23821.8747929321
346.44	9528.74991717283
346.68	3176.24997239094
346.92	3176.24997239094
363.24	1588.12498619547
375.96	1588.12498619547
376.08	3176.24997239094
406.92	1588.12498619547
407.64	1588.12498619547
407.88	9528.74991717283
408	15881.2498619547
408.12	6352.49994478188
408.36	1588.12498619547
418.92	1588.12498619547
419.04	3176.24997239094
419.28	1588.12498619547
426	1588.12498619547
432.84	1588.12498619547
436.68	7940.62493097736
436.8	11116.8749033683
436.92	44467.4996134732
437.04	63524.9994478188
437.16	53996.249530646
437.28	4764.37495858641
437.4	7940.62493097736
437.64	3176.24997239094
444.12	1588.12498619547
446.16	1588.12498619547
452.04	3176.24997239094
454.92	1588.12498619547
455.04	1588.12498619547
481.92	1588.12498619547
493.08	1588.12498619547
498.72	1588.12498619547
503.88	1588.12498619547
507.72	1588.12498619547
509.88	1588.12498619547
514.92	1588.12498619547
516.72	1588.12498619547
516.84	6352.49994478188
516.96	7940.62493097736
517.08	12704.9998895638
517.2	3176.24997239094
526.68	1588.12498619547
541.8	1588.12498619547
546.84	1588.12498619547
554.04	1588.12498619547
566.04	1588.12498619547
581.76	1588.12498619547
595.44	1588.12498619547
630.6	1588.12498619547
633.72	1588.12498619547
645.96	1588.12498619547
685.92	4764.37495858641
686.04	1588.12498619547
686.16	4764.37495858641
708.24	1588.12498619547
710.88	3176.24997239094
720.72	1588.12498619547
738.12	1588.12498619547
783.48	1588.12498619547
783.6	23821.8747929321
783.72	57172.499503037
783.84	106404.374075097
783.96	136578.748812811
784.08	76229.9993373826
784.2	42879.3746272777
784.32	12704.9998895638
785.76	1588.12498619547
841.08	1588.12498619547
