Mass/Charge	Intensity
61.44	1499.89582029572
61.68	1499.89582029572
61.8	4499.68746088717
61.92	5999.58328118289
62.04	8999.37492177434
62.28	4499.68746088717
62.4	1499.89582029572
73.68	2999.79164059145
81.72	2999.79164059145
81.84	1499.89582029572
82.08	2999.79164059145
84	2999.79164059145
84.12	1499.89582029572
84.48	1499.89582029572
84.96	1499.89582029572
85.08	2999.79164059145
100.08	1499.89582029572
101.04	2999.79164059145
101.4	1499.89582029572
101.52	5999.58328118289
101.64	4499.68746088717
101.76	5999.58328118289
101.88	61495.7286321246
102	145489.894568685
102.12	107992.499061292
102.24	10499.2707420701
102.36	4499.68746088717
102.48	5999.58328118289
102.6	13499.0623826615
102.72	1499.89582029572
102.84	1499.89582029572
104.64	1499.89582029572
104.88	1499.89582029572
127.68	1499.89582029572
127.8	2999.79164059145
127.92	37497.3955073931
128.04	155989.165310755
128.16	101992.915780109
128.28	20998.5414841401
128.4	4499.68746088717
128.52	4499.68746088717
128.76	2999.79164059145
128.88	4499.68746088717
129	2999.79164059145
129.12	1499.89582029572
129.96	1499.89582029572
145.68	1499.89582029572
145.8	1499.89582029572
145.92	7499.47910147861
146.04	43496.978788576
146.16	40497.1871479845
146.28	7499.47910147861
146.4	4499.68746088717
146.64	2999.79164059145
146.76	1499.89582029572
