Mass/Charge	Intensity
62.88	2088.09025962738
70.92	4176.18051925476
71.16	2088.09025962738
71.64	2088.09025962738
71.88	6264.27077888214
74.04	2088.09025962738
74.52	2088.09025962738
74.88	4176.18051925476
78.24	8352.36103850952
78.48	18792.8123366464
78.6	20880.9025962738
78.72	58466.5272695666
78.84	192104.303885719
78.96	156606.769472053
79.08	29233.2636347833
79.2	4176.18051925476
79.32	8352.36103850952
79.44	6264.27077888214
79.56	8352.36103850952
79.68	4176.18051925476
79.92	2088.09025962738
80.28	2088.09025962738
82.32	2088.09025962738
86.88	2088.09025962738
87	4176.18051925476
88.92	4176.18051925476
89.04	2088.09025962738
96.48	2088.09025962738
96.72	2088.09025962738
96.84	2088.09025962738
96.96	6264.27077888214
97.08	2088.09025962738
109.08	2088.09025962738
110.88	4176.18051925476
111.12	4176.18051925476
114.96	4176.18051925476
127.08	2088.09025962738
127.2	2088.09025962738
127.32	4176.18051925476
132.84	2088.09025962738
132.96	4176.18051925476
133.2	2088.09025962738
133.32	2088.09025962738
141.12	2088.09025962738
152.64	2088.09025962738
152.88	2088.09025962738
153	4176.18051925476
170.88	12528.5415577643
171	18792.8123366464
171.12	10440.4512981369
171.24	18792.8123366464
171.36	6264.27077888214
172.08	2088.09025962738
