Mass/Charge	Intensity
58.92	882.291658997484
68.76	441.145829498742
68.88	1323.43748849623
70.44	441.145829498742
70.56	441.145829498742
70.92	2205.72914749371
71.04	3970.31246548868
71.16	1323.43748849623
71.52	441.145829498742
71.88	882.291658997484
72.24	1764.58331799497
72.36	4411.45829498742
72.48	7058.33327197987
72.6	7499.47910147862
72.72	15881.2498619547
72.84	57790.1036643352
72.96	82494.2701162648
73.08	39703.1246548868
73.2	10146.3540784711
73.32	3529.16663598994
73.44	2205.72914749371
73.56	2205.72914749371
73.8	882.291658997484
74.16	441.145829498742
74.88	1764.58331799497
75	441.145829498742
75.12	1323.43748849623
75.24	441.145829498742
76.08	882.291658997484
76.56	441.145829498742
76.8	441.145829498742
82.44	882.291658997484
83.88	441.145829498742
86.76	441.145829498742
86.88	3529.16663598994
87	4852.60412448616
87.12	2646.87497699245
98.16	441.145829498742
98.64	441.145829498742
98.76	3529.16663598994
98.88	7058.33327197987
99	11910.937396466
99.12	2646.87497699245
99.24	441.145829498742
99.36	441.145829498742
99.48	441.145829498742
99.6	441.145829498742
99.72	2646.87497699245
99.84	7058.33327197987
99.96	10587.4999079698
100.08	882.291658997484
100.2	882.291658997484
100.32	441.145829498742
114.84	882.291658997484
114.96	441.145829498742
116.52	2205.72914749371
116.64	1323.43748849623
116.76	4411.45829498742
116.88	19851.5623274434
117	39261.978825388
117.12	22939.5831339346
117.24	3970.31246548868
117.36	1764.58331799497
117.48	441.145829498742
117.6	441.145829498742
117.72	1323.43748849623
117.84	441.145829498742
117.96	441.145829498742
118.56	441.145829498742
118.92	441.145829498742
119.4	882.291658997484
122.76	1323.43748849623
