Mass/Charge	Intensity
57.12	1764.58331799497
58.68	1764.58331799497
61.68	1764.58331799497
61.8	1764.58331799497
61.92	1764.58331799497
62.04	1764.58331799497
65.28	1764.58331799497
66.84	1764.58331799497
69	1764.58331799497
70.56	1764.58331799497
71.88	1764.58331799497
72.84	1764.58331799497
72.96	7058.33327197987
73.92	3529.16663598994
76.56	1764.58331799497
77.76	1764.58331799497
78.48	1764.58331799497
78.72	22939.5831339346
78.84	44114.5829498742
78.96	58231.249493834
79.08	8822.91658997484
79.2	3529.16663598994
79.44	3529.16663598994
79.92	3529.16663598994
86.04	1764.58331799497
86.88	1764.58331799497
87	1764.58331799497
95.04	1764.58331799497
95.88	1764.58331799497
96	1764.58331799497
96.36	1764.58331799497
96.6	1764.58331799497
96.72	17645.8331799497
96.84	47643.7495858641
96.96	29997.9164059145
97.08	15881.2498619547
97.2	7058.33327197987
97.44	7058.33327197987
98.04	3529.16663598994
98.16	1764.58331799497
98.88	1764.58331799497
99	3529.16663598994
99.12	1764.58331799497
102	1764.58331799497
102.96	1764.58331799497
107.04	1764.58331799497
110.04	1764.58331799497
110.88	3529.16663598994
111.12	1764.58331799497
113.04	3529.16663598994
113.16	3529.16663598994
114.12	1764.58331799497
114.96	5293.74995398491
115.08	7058.33327197987
115.2	1764.58331799497
115.44	1764.58331799497
116.04	1764.58331799497
116.88	3529.16663598994
117	1764.58331799497
121.08	1764.58331799497
122.04	5293.74995398491
122.88	1764.58331799497
123.96	1764.58331799497
124.08	3529.16663598994
124.2	7058.33327197987
124.92	1764.58331799497
125.04	8822.91658997484
125.16	14116.6665439597
125.28	3529.16663598994
125.4	3529.16663598994
126	8822.91658997484
126.12	24704.1664519296
126.24	1764.58331799497
126.48	1764.58331799497
127.08	3529.16663598994
128.16	3529.16663598994
129.24	1764.58331799497
131.76	1764.58331799497
136.92	1764.58331799497
137.04	5293.74995398491
138	3529.16663598994
138.12	1764.58331799497
138.96	3529.16663598994
139.08	3529.16663598994
141.12	5293.74995398491
142.08	3529.16663598994
142.2	3529.16663598994
143.04	3529.16663598994
143.16	7058.33327197987
144.36	1764.58331799497
145.08	3529.16663598994
145.2	1764.58331799497
146.04	1764.58331799497
149.04	1764.58331799497
149.16	1764.58331799497
150.96	1764.58331799497
151.08	1764.58331799497
152.16	1764.58331799497
153.24	1764.58331799497
154.92	1764.58331799497
155.04	3529.16663598994
155.16	1764.58331799497
155.28	1764.58331799497
157.08	1764.58331799497
157.2	5293.74995398491
161.04	1764.58331799497
163.08	1764.58331799497
166.68	1764.58331799497
166.92	5293.74995398491
167.04	3529.16663598994
173.16	1764.58331799497
173.52	1764.58331799497
174.12	1764.58331799497
174.72	3529.16663598994
175.08	3529.16663598994
177	1764.58331799497
177.12	8822.91658997484
177.24	1764.58331799497
179.16	3529.16663598994
179.28	1764.58331799497
184.8	1764.58331799497
184.92	10587.4999079698
185.04	49408.3329038591
185.16	35291.6663598994
185.28	12352.0832259648
185.52	3529.16663598994
185.76	1764.58331799497
185.88	5293.74995398491
187.2	1764.58331799497
188.04	5293.74995398491
193.2	3529.16663598994
195	1764.58331799497
197.04	1764.58331799497
201.12	1764.58331799497
203.16	1764.58331799497
204.12	1764.58331799497
208.2	3529.16663598994
213.12	3529.16663598994
214.08	1764.58331799497
214.2	19410.4164979447
214.32	8822.91658997484
214.44	1764.58331799497
214.56	1764.58331799497
214.68	5293.74995398491
214.8	3529.16663598994
214.92	1764.58331799497
215.04	14116.6665439597
215.16	24704.1664519296
215.28	56466.666175839
215.4	38820.8329958893
215.52	12352.0832259648
215.64	10587.4999079698
215.76	1764.58331799497
215.88	10587.4999079698
216.96	1764.58331799497
218.16	1764.58331799497
229.32	1764.58331799497
230.88	3529.16663598994
231.24	1764.58331799497
232.44	1764.58331799497
238.92	1764.58331799497
241.92	1764.58331799497
256.92	3529.16663598994
257.04	12352.0832259648
257.16	12352.0832259648
257.28	1764.58331799497
257.52	1764.58331799497
260.16	1764.58331799497
274.68	1764.58331799497
274.8	7058.33327197987
274.92	3529.16663598994
275.04	40585.4163138843
275.16	88229.1658997484
275.28	42349.9996318792
275.4	10587.4999079698
275.52	14116.6665439597
275.76	5293.74995398491
275.88	1764.58331799497
