Mass/Charge	Intensity
60.36	29179.0389130324
63	29179.0389130324
73.08	58358.0778260648
77.88	29179.0389130324
78	29179.0389130324
78.12	29179.0389130324
78.24	145895.194565162
78.36	29179.0389130324
78.48	175074.233478195
78.6	408506.544782454
78.72	1021266.36195613
78.84	3384768.51391176
78.96	2013353.68499924
79.08	612759.817173681
79.2	175074.233478195
79.32	29179.0389130324
79.44	29179.0389130324
80.76	29179.0389130324
81	29179.0389130324
82.08	29179.0389130324
86.88	29179.0389130324
95.04	29179.0389130324
96.12	29179.0389130324
96.36	29179.0389130324
96.72	233432.311304259
96.84	758655.011738843
96.96	1400593.86782556
97.08	466864.622608519
97.2	87537.1167390973
97.44	58358.0778260648
97.56	29179.0389130324
102.84	29179.0389130324
113.16	58358.0778260648
124.32	29179.0389130324
125.16	29179.0389130324
139.08	58358.0778260648
141	58358.0778260648
141.12	29179.0389130324
152.04	29179.0389130324
157.68	29179.0389130324
166.8	29179.0389130324
166.92	29179.0389130324
167.04	29179.0389130324
167.16	58358.0778260648
184.8	29179.0389130324
185.04	58358.0778260648
185.16	87537.1167390973
185.4	58358.0778260648
