Mass/Charge	Intensity
62.52	142314.249318511
72.96	71157.1246592556
78.24	71157.1246592556
78.36	142314.249318511
78.48	284628.498637022
78.6	640414.1219333
78.72	1067356.86988883
78.84	4055956.10557757
78.96	3913641.85625906
79.08	782728.371251811
79.2	355785.623296278
79.44	213471.373977767
79.68	142314.249318511
81.12	142314.249318511
87	71157.1246592556
96.36	426942.747955533
96.6	284628.498637022
96.72	782728.371251811
96.84	3842484.7315998
96.96	4269427.47955533
97.08	1494299.61784437
97.2	355785.623296278
97.32	213471.373977767
97.44	71157.1246592556
97.56	71157.1246592556
97.68	71157.1246592556
98.4	71157.1246592556
125.04	71157.1246592556
134.88	71157.1246592556
137.16	142314.249318511
137.28	142314.249318511
138.96	355785.623296278
139.08	213471.373977767
139.32	71157.1246592556
142.56	71157.1246592556
150.84	71157.1246592556
150.96	142314.249318511
151.08	142314.249318511
151.2	142314.249318511
151.44	142314.249318511
151.92	71157.1246592556
158.76	71157.1246592556
158.88	426942.747955533
159	711571.246592556
159.12	853885.495911067
159.24	142314.249318511
159.72	71157.1246592556
162.96	71157.1246592556
176.76	71157.1246592556
176.88	284628.498637022
177	853885.495911067
177.12	426942.747955533
177.24	71157.1246592556
177.36	284628.498637022
177.48	142314.249318511
177.72	71157.1246592556
179.04	71157.1246592556
181.08	142314.249318511
181.68	71157.1246592556
192.96	71157.1246592556
193.08	71157.1246592556
195.24	71157.1246592556
204.96	71157.1246592556
205.2	71157.1246592556
206.04	142314.249318511
213	71157.1246592556
223.08	213471.373977767
223.2	142314.249318511
223.56	71157.1246592556
223.68	71157.1246592556
240.72	71157.1246592556
240.84	284628.498637022
240.96	1209671.11920734
241.08	2703970.73705171
241.2	569256.997274045
241.32	142314.249318511
241.44	284628.498637022
241.68	71157.1246592556
249	71157.1246592556
249.24	142314.249318511
261.24	71157.1246592556
279.12	71157.1246592556
284.88	71157.1246592556
320.88	71157.1246592556
321	71157.1246592556
338.52	71157.1246592556
338.64	142314.249318511
338.76	1565456.74250362
338.88	4767527.35217012
339	4482898.8535331
339.12	3629013.35762203
339.24	1423142.49318511
339.36	355785.623296278
339.48	640414.1219333
340.2	71157.1246592556
