Mass/Charge	Intensity
72	7989.04159722317
73.08	15978.0831944463
73.32	7989.04159722317
73.56	7989.04159722317
73.8	23967.1247916695
73.92	55923.2911805622
74.04	47934.249583339
74.16	15978.0831944463
74.4	7989.04159722317
81.24	15978.0831944463
81.72	15978.0831944463
81.96	47934.249583339
82.08	39945.2079861158
82.2	15978.0831944463
83.52	7989.04159722317
83.64	23967.1247916695
83.76	23967.1247916695
83.88	31956.1663888927
84	103857.540763901
84.12	23967.1247916695
84.24	15978.0831944463
84.6	7989.04159722317
84.72	7989.04159722317
84.84	23967.1247916695
84.96	47934.249583339
85.08	15978.0831944463
85.56	15978.0831944463
86.04	7989.04159722317
87.72	7989.04159722317
87.96	7989.04159722317
97.92	7989.04159722317
99	15978.0831944463
99.96	7989.04159722317
100.08	31956.1663888927
100.2	15978.0831944463
100.68	15978.0831944463
100.92	23967.1247916695
101.04	55923.2911805622
101.16	39945.2079861158
101.28	7989.04159722317
101.4	71901.3743750085
101.52	151791.79034724
101.64	351517.830277819
101.76	854827.450902879
101.88	1813512.44256966
102	1206345.2811807
102.12	734991.826944532
102.24	335539.747083373
102.36	175758.91513891
102.48	167769.873541687
102.6	183747.956736133
102.72	119835.623958348
102.84	55923.2911805622
102.96	7989.04159722317
103.32	7989.04159722317
103.44	7989.04159722317
103.56	7989.04159722317
104.64	23967.1247916695
104.88	7989.04159722317
105.72	7989.04159722317
107.04	7989.04159722317
107.16	7989.04159722317
108.6	15978.0831944463
127.32	7989.04159722317
127.44	7989.04159722317
127.56	31956.1663888927
127.68	47934.249583339
127.8	351517.830277819
127.92	1110476.78201402
128.04	1813512.44256966
128.16	934717.866875111
128.28	247660.289513918
128.4	111846.582361124
128.52	63912.3327777854
128.64	87879.4575694549
128.76	39945.2079861158
128.88	39945.2079861158
129	31956.1663888927
129.12	7989.04159722317
129.24	7989.04159722317
129.36	15978.0831944463
129.84	7989.04159722317
130.08	15978.0831944463
130.8	31956.1663888927
133.08	7989.04159722317
134.16	7989.04159722317
135.84	7989.04159722317
145.56	15978.0831944463
145.68	39945.2079861158
145.8	31956.1663888927
145.92	303583.58069448
146.04	998630.199652896
146.16	846838.409305656
146.28	111846.582361124
146.4	47934.249583339
146.52	31956.1663888927
146.64	23967.1247916695
146.76	23967.1247916695
146.88	15978.0831944463
147.36	15978.0831944463
150	7989.04159722317
