Mass/Charge	Intensity
61.92	2676.28469895903
62.04	2676.28469895903
62.16	2676.28469895903
62.64	2676.28469895903
69.12	5352.56939791807
70.56	2676.28469895903
70.68	2676.28469895903
70.92	2676.28469895903
71.04	2676.28469895903
78.12	5352.56939791807
78.36	5352.56939791807
78.48	8028.8540968771
78.6	18733.9928927132
78.72	50849.4092802217
78.84	131137.950248993
78.96	184663.644228173
79.08	13381.4234947952
79.2	5352.56939791807
79.44	8028.8540968771
79.8	5352.56939791807
80.04	2676.28469895903
86.88	2676.28469895903
87	5352.56939791807
95.88	2676.28469895903
96.36	2676.28469895903
96.48	2676.28469895903
96.6	8028.8540968771
96.84	40144.2704843855
96.96	66907.1174739759
97.08	26762.8469895903
97.2	8028.8540968771
97.44	5352.56939791807
108	2676.28469895903
110.88	16057.7081937542
111	34791.7010864675
111.12	26762.8469895903
111.36	2676.28469895903
113.04	10705.1387958361
119.16	2676.28469895903
120	2676.28469895903
126.12	2676.28469895903
127.08	5352.56939791807
132.96	2676.28469895903
133.2	5352.56939791807
137.16	2676.28469895903
138.96	18733.9928927132
139.08	2676.28469895903
139.2	5352.56939791807
143.04	2676.28469895903
146.88	5352.56939791807
147	2676.28469895903
147.12	10705.1387958361
147.24	13381.4234947952
147.96	2676.28469895903
150.84	2676.28469895903
150.96	2676.28469895903
151.08	24086.5622906313
151.2	5352.56939791807
155.16	2676.28469895903
158.76	2676.28469895903
162.6	2676.28469895903
174.96	2676.28469895903
175.08	2676.28469895903
175.2	2676.28469895903
177.12	2676.28469895903
179.04	2676.28469895903
179.16	2676.28469895903
181.08	5352.56939791807
182.04	2676.28469895903
189.24	2676.28469895903
190.2	2676.28469895903
192.96	16057.7081937542
193.08	5352.56939791807
193.2	2676.28469895903
195.12	2676.28469895903
195.24	2676.28469895903
197.04	5352.56939791807
197.16	2676.28469895903
210.84	5352.56939791807
210.96	8028.8540968771
211.08	26762.8469895903
211.2	18733.9928927132
211.32	5352.56939791807
211.56	5352.56939791807
217.08	2676.28469895903
218.88	5352.56939791807
236.28	2676.28469895903
237.84	2676.28469895903
240.96	2676.28469895903
241.08	5352.56939791807
241.32	2676.28469895903
242.76	2676.28469895903
260.28	5352.56939791807
263.16	10705.1387958361
275.16	2676.28469895903
279.84	2676.28469895903
279.96	5352.56939791807
280.08	13381.4234947952
280.2	2676.28469895903
304.68	2676.28469895903
322.8	40144.2704843855
322.92	120432.811453157
323.04	216779.060615682
323.16	181987.359529214
323.28	58878.2633770988
323.4	10705.1387958361
323.52	16057.7081937542
323.64	16057.7081937542
323.76	2676.28469895903
324	5352.56939791807
324.12	2676.28469895903
