id,experiment_id,sample_name,sample_name_abbreviation,sample_type,time_point,dilution,replicate_number,met_id,fragment_formula,fragment_mass,intensity,intensity_units,intensity_corrected,intensity_corrected_units,intensity_normalized,intensity_normalized_units,intensity_theoretical,abs_devFromTheoretical,scan_type,used_,comment_
41419,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,1,23dpg,C3H7O10P2-,265,73173.67935,cps,69669.93908,cps,1,cps,1,0,MRM,TRUE,
41423,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,1,2,23dpg,C3H7O10P2-,265,65469.74198,cps,61966.00171,cps,1,cps,1,0,MRM,TRUE,
41427,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,1,3,23dpg,C3H7O10P2-,265,42019.15458,cps,38515.41431,cps,1,cps,1,0,MRM,TRUE,
41431,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,1,4,23dpg,C3H7O10P2-,265,79685.89601,cps,76182.15574,cps,1,cps,1,0,MRM,TRUE,
41435,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-5,OxicWtGlc,Unknown,0,1,5,23dpg,C3H7O10P2-,265,53874.34073,cps,50370.60046,cps,1,cps,1,0,MRM,TRUE,
41439,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-6,OxicWtGlc,Unknown,0,1,6,23dpg,C3H7O10P2-,265,51891.03544,cps,48387.29517,cps,1,cps,1,0,MRM,TRUE,
41417,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-1,OxicWtGlc,Unknown,0,1,1,23dpg,C3H7O10P2-,266,2380.847411,cps,1530.847411,cps,0.021972854,cps,0.037061534,40.7125075,MRM,TRUE,
41421,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-2,OxicWtGlc,Unknown,0,1,2,23dpg,C3H7O10P2-,266,2319.876942,cps,1469.876942,cps,0.0237207,cps,0.037061534,35.9964428,MRM,TRUE,
41425,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-3,OxicWtGlc,Unknown,0,1,3,23dpg,C3H7O10P2-,266,1792.53323,cps,942.53323,cps,0.024471585,cps,0.037061534,33.97039395,MRM,TRUE,
41429,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-4,OxicWtGlc,Unknown,0,1,4,23dpg,C3H7O10P2-,266,4302.715411,cps,3452.715411,cps,0.045321839,cps,0.037061534,22.28808239,MRM,TRUE,
