exp_type_id,id,metabolomics_sample_name,metabolomics_experimentor_id,extraction_method_id,acquisition_method_id,quantitation_method_id,metabolomics_is_id
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-1-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-2-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-3-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-4-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-5-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-6-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140228_Null_OxicWTEcoliGlcM9_Broth-6-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-1-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-2-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-3-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-4-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-5-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-6-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140228_Null_OxicWTEcoliGlcM9_Broth-6-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-1,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-2,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-3,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140228_Null_OxicWTEcoliGlcM9_Broth-3,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-4,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-5,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_Broth-6,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140228_Null_OxicWTEcoliGlcM9_Broth-6,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_ERQC-1-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux_ER,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_ERQC-2-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux_ER,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_ERQC-3-100x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux_ER,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-1-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-2-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_MRMQC-3-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_ERQC-1-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux_ER,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_ERQC-2-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux_ER,,
5,WTEColi12C01,140221_0_OxicWTEcoliGlcM9_ERQC-3-10x,2,Aqueous acetonitrile filtration,140227_McCloskey2013_13CFlux_ER,,
