met_id,precursor_formula,product_formula
ser-L,C3H6NO3-,C2H4NO2-
gln-L,C5H9N2O3-,C5H7N2O2-
thr-L,C4H8NO3-,C2H4NO2-
met-L,C5H10NO2S-,CH3S-
tyr-L,C9H10NO3-,C9H7O3-
phe-L,C9H10NO2-,C9H7O2-
asp-L,C4H6NO4-,C3H6NO2-
glu-L,C5H8NO4-,C5H6NO3-
skm,C7H9O5-,C6H5O-
glx,C2HO3-,CHO2-
glyclt,C2H3O3-,CH3O2-
trp-L,C11H11N2O2-,C8H6N-
lac-L,C3H5O3-,C2H3O-
pyr,C3H3O3-,O2-
g3p,C3H6O6P-,H2O4P-
g6p,C6H12O9P-,O3P-
r5p,C5H10O8P-,H2O4P-
s7p,C7H14O10P-,H2O4P-
glyc3p,C3H8O6P-,O3P-
ru5p-D,C5H10O8P-,H2O4P-
2obut,C4H5O3-,O2-
ump,C9H12N2O9P-,O3P-
dhap,C3H6O6P-,H2O4P-
dump,C9H12N2O8P-,O3P-
dtmp,C10H14N2O8P-,O3P-
amp,C10H13N5O7P-,O3P-
gmp,C10H13N5O8P-,O3P-
imp,C10H12N4O8P-,H2O4P-
succ,C4H5O4-,C4H3O3-
mal-L,C4H5O5-,C4H3O4-
fum,C4H3O4-,C3H3O2-
udpg,C15H21N2O17P2-,O3P-
akg,C5H5O5-,C4H5O3-
oaa,C4H3O5-,C3H3O3-
chor,C10H7O6-,C6H3O-
gdp,C10H14N5O11P2-,O3P-
6pgc,C6H12O10P-,H2O4P-
Pool_2pg_3pg,C3H6O7P-,H2O4P-
adp,C10H14N5O10P2-,O3P-
acon-C,C6H5O6-,C5H5O4-
pep,C3H4O6P-,O3P-
icit,C6H7O7-,C5H3O3-
fdp,C6H13O12P2-,O3P-
23dpg,C3H7O10P2-,H3O7P2-
atp,C10H15N5O13P3-,HO6P2-
gtp,C10H15N5O14P3-,O3P-
prpp,C5H12O14P3-,H3O7P2-
phpyr,C9H7O3-,C7H7-
34hpp,C9H7O4-,C7H7O-
3mob,C5H7O3-,C3H3O3-
4abut,C4H8NO2,CHO2-
4mop,C6H9O3-,C5H9O-
e4p,C4H8O7P-,H2O4P-
accoa,C23H37N7O17P3S-,O3P-
fad,C27H32N9O15P2-,O3P-
his-L,C6H8N3O2-,C5H5N2-
