Mass/Charge	Intensity
51.96	333.333330435885
68.76	333.333330435885
69	2999.99997392297
85.92	333.333330435885
86.16	999.999991307656
86.28	1333.33332174354
86.4	2333.3333130512
86.52	4999.99995653828
86.64	8666.66659133302
86.76	16999.9998522302
86.88	60333.3328088952
87	68333.3327393565
87.12	28666.6664174861
87.24	7333.33326958948
87.36	4333.33329566651
87.48	4999.99995653828
87.6	1333.33332174354
87.72	2333.3333130512
87.84	999.999991307656
87.96	666.666660871771
88.44	999.999991307656
89.16	666.666660871771
90.12	333.333330435885
92.04	333.333330435885
