experiment_id,sample_name,filename,met_id,scan_type,precursor_formula
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_163_EPI.txt,phpyr,EPI,C9H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phe-L_164_EPI.txt,phe-L,EPI,C9H10NO2-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10-10x,10_phpyr_164_EPI.txt,phpyr,EPI,C8[13C]H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_phpyr_165_EPI.txt,phpyr,EPI,C7[13C]2H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-11-10x,11_phpyr_163_EPI.txt,phpyr,EPI,C9H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-11-10x,11_phe-L_164_EPI.txt,phe-L,EPI,C9H10NO2-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-11-10x,11_phpyr_164_EPI.txt,phpyr,EPI,C8[13C]H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-11-10x,11_phpyr_165_EPI.txt,phpyr,EPI,C7[13C]2H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-12,12_phpyr_163_EPI.txt,phpyr,EPI,C9H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-12,12_phe-L_164_EPI.txt,phe-L,EPI,C9H10NO2-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-12,12_phpyr_164_EPI.txt,phpyr,EPI,C8[13C]H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-12,12_phpyr_165_EPI.txt,phpyr,EPI,C7[13C]2H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-7,7_phpyr_163_EPI.txt,phpyr,EPI,C9H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-7,7_phe-L_164_EPI.txt,phe-L,EPI,C9H10NO2-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-7,7_phpyr_164_EPI.txt,phpyr,EPI,C8[13C]H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-8,8_phpyr_163_EPI.txt,phpyr,EPI,C9H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-8,8_phpyr_164_EPI.txt,phpyr,EPI,C8[13C]H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-8,8_phpyr_165_EPI.txt,phpyr,EPI,C7[13C]2H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-9-10x,9_phpyr_163_EPI.txt,phpyr,EPI,C9H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-9,9_phe-L_164_EPI.txt,phe-L,EPI,C9H10NO2-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-9-10x,9_phpyr_164_EPI.txt,phpyr,EPI,C8[13C]H7O3-
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-9,9_phpyr_165_EPI.txt,phpyr,EPI,C7[13C]2H7O3-
