experiment_id,sample_name,filename,_,_,met_id,_,_,_,scan_type,_,precursor_formula,used_
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glyclt_75_EPI.txt,10,_,glyclt,_,75,_,EPI,.txt,C2H3O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glyclt_76_EPI.txt,10,_,glyclt,_,76,_,EPI,.txt,C[13C]H3O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glyclt_76_EPI.txt,10,_,glyclt,_,76,_,EPI,.txt,C[13C]H3O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_glyclt_77_EPI.txt,10,_,glyclt,_,77,_,EPI,.txt,[13C]2H3O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_pyr_87_EPI.txt,10,_,pyr,_,87,_,EPI,.txt,C3H3O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_pyr_88_EPI.txt,10,_,pyr,_,88,_,EPI,.txt,C2[13C]H3O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_pyr_89_EPI.txt,10,_,pyr,_,89,_,EPI,.txt,C[13C]2H3O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_pyr_90_EPI.txt,10,_,pyr,_,90,_,EPI,.txt,[13C]3H3O3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_succ_117_EPI.txt,10,_,succ,_,117,_,EPI,.txt,C4H5O4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_succ_118_EPI.txt,10,_,succ,_,118,_,EPI,.txt,C3[13C]H5O4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_thr-L_118_EPI.txt,10,_,thr-L,_,118,_,EPI,.txt,C4H8NO3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_succ_119_EPI.txt,10,_,succ,_,119,_,EPI,.txt,C2[13C]2H5O4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_thr-L_119_EPI.txt,10,_,thr-L,_,119,_,EPI,.txt,C3[13C]H8NO3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_thr-L_119_EPI.txt,10,_,thr-L,_,119,_,EPI,.txt,C3[13C]H8NO3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_succ_120_EPI.txt,10,_,succ,_,120,_,EPI,.txt,C[13C]3H5O4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_thr-L_120_EPI.txt,10,_,thr-L,_,120,_,EPI,.txt,C2[13C]2H8NO3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_thr-L_120_EPI.txt,10,_,thr-L,_,120,_,EPI,.txt,C2[13C]2H8NO3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_thr-L_120_EPI.txt,10,_,thr-L,_,120,_,EPI,.txt,C2[13C]2H8NO3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_succ_121_EPI.txt,10,_,succ,_,121,_,EPI,.txt,[13C]4H5O4-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_thr-L_121_EPI.txt,10,_,thr-L,_,121,_,EPI,.txt,C[13C]3H8NO3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_thr-L_121_EPI.txt,10,_,thr-L,_,121,_,EPI,.txt,C[13C]3H8NO3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_thr-L_122_EPI.txt,10,_,thr-L,_,122,_,EPI,.txt,[13C]4H8NO3-,
WTEColi12C02,140221_0_OxicWTEcoliGlcM9_Broth-10,10_asp-L_132_EPI.txt,10,_,asp-L,_,132,_,EPI,.txt,C4H6NO4-,
