Mass/Charge	Intensity
59.88	666.666660871771
60	666.666660871771
60.36	333.333330435885
60.72	666.666660871771
60.84	333.333330435885
61.08	333.333330435885
61.8	666.666660871771
62.04	333.333330435885
65.88	333.333330435885
68.88	666.666660871771
69	999.999991307656
69.96	333.333330435885
72	333.333330435885
72.48	333.333330435885
72.72	1999.99998261531
72.84	2666.66664348708
72.96	2333.3333130512
73.08	999.999991307656
73.32	666.666660871771
73.8	999.999991307656
73.92	3999.99996523062
74.04	1333.33332174354
74.52	333.333330435885
74.64	333.333330435885
74.76	333.333330435885
75.84	333.333330435885
75.96	1999.99998261531
84.72	333.333330435885
84.84	333.333330435885
85.92	666.666660871771
86.04	666.666660871771
86.16	333.333330435885
86.88	333.333330435885
87	666.666660871771
87.96	666.666660871771
88.08	999.999991307656
88.2	666.666660871771
88.92	999.999991307656
89.04	333.333330435885
90.96	333.333330435885
91.92	333.333330435885
92.04	999.999991307656
93.72	666.666660871771
94.8	333.333330435885
95.04	333.333330435885
96.12	333.333330435885
98.88	333.333330435885
102	999.999991307656
103.08	333.333330435885
103.68	333.333330435885
104.04	666.666660871771
105.12	333.333330435885
108.12	333.333330435885
113.88	333.333330435885
114	333.333330435885
116.88	333.333330435885
117	1333.33332174354
117.12	666.666660871771
117.24	333.333330435885
117.96	333.333330435885
118.08	333.333330435885
118.2	333.333330435885
122.04	333.333330435885
123.96	666.666660871771
124.2	666.666660871771
133.92	333.333330435885
137.04	666.666660871771
137.16	333.333330435885
138.12	999.999991307656
138.96	333.333330435885
139.08	666.666660871771
140.04	333.333330435885
140.16	333.333330435885
140.28	333.333330435885
141.24	333.333330435885
141.36	333.333330435885
144.36	333.333330435885
147.84	333.333330435885
147.96	999.999991307656
152.04	666.666660871771
152.16	666.666660871771
154.2	333.333330435885
156.12	333.333330435885
158.28	666.666660871771
165.96	333.333330435885
166.08	666.666660871771
166.2	333.333330435885
167.16	666.666660871771
183.96	333.333330435885
184.08	1333.33332174354
184.2	2666.66664348708
184.32	999.999991307656
184.44	999.999991307656
