Mass/Charge	Intensity
52.2	666.666660871771
57.72	333.333330435885
58.2	333.333330435885
58.32	333.333330435885
58.56	999.999991307656
58.68	1999.99998261531
58.8	1666.66665217943
58.92	1666.66665217943
59.04	999.999991307656
59.16	333.333330435885
59.52	333.333330435885
67.92	666.666660871771
68.64	666.666660871771
68.76	666.666660871771
69	333.333330435885
69.24	333.333330435885
69.72	333.333330435885
69.84	333.333330435885
69.96	999.999991307656
70.08	999.999991307656
70.2	2666.66664348708
70.32	4999.99995653828
70.44	13666.6665478713
70.56	28666.6664174861
70.68	62333.3327915106
70.8	71666.6660437153
70.92	52333.332878434
71.04	40666.666313178
71.16	22333.3331392043
71.28	13333.3332174354
71.4	5666.66661741005
71.64	10999.9999043842
71.76	11333.3332348201
71.88	32999.9997131526
72	25999.9997739991
72.12	18999.9998348455
72.24	4999.99995653828
72.36	6666.66660871771
72.48	10999.9999043842
72.6	22666.6664696402
72.72	36999.9996783833
72.84	62333.3327915106
72.96	44666.6662784086
73.08	23999.9997913837
73.2	11999.9998956919
73.32	6333.33327828182
73.44	6666.66660871771
73.56	2666.66664348708
73.68	3333.33330435885
73.8	999.999991307656
73.92	666.666660871771
74.04	333.333330435885
74.16	666.666660871771
74.28	999.999991307656
74.52	666.666660871771
74.64	1666.66665217943
74.76	4333.33329566651
74.88	4999.99995653828
75	4999.99995653828
75.12	999.999991307656
75.24	333.333330435885
75.36	333.333330435885
75.48	333.333330435885
76.08	666.666660871771
76.2	999.999991307656
76.32	333.333330435885
76.56	999.999991307656
77.64	999.999991307656
78.24	333.333330435885
78.6	333.333330435885
78.72	666.666660871771
78.96	333.333330435885
79.08	1333.33332174354
79.68	333.333330435885
79.8	666.666660871771
79.92	1999.99998261531
80.16	333.333330435885
84	333.333330435885
84.24	666.666660871771
84.96	333.333330435885
85.08	333.333330435885
86.4	666.666660871771
86.52	2333.3333130512
86.64	1999.99998261531
86.76	1666.66665217943
86.88	3999.99996523062
87	6333.33327828182
87.12	6333.33327828182
87.24	333.333330435885
87.36	2333.3333130512
87.48	1999.99998261531
87.6	7333.33326958948
87.72	9666.66658264068
87.84	22333.3331392043
87.96	38999.9996609986
88.08	44333.3329479727
88.2	14666.666539179
88.32	6999.99993915359
88.44	11999.9998956919
88.56	25666.6664435632
88.68	34333.3330348962
88.8	67666.6660784847
88.92	57333.3328349723
89.04	28666.6664174861
89.16	15999.9998609225
89.28	5666.66661741005
89.4	6333.33327828182
89.52	3999.99996523062
89.64	7666.66660002536
89.76	1999.99998261531
89.88	1666.66665217943
90	1333.33332174354
90.12	1333.33332174354
90.24	1333.33332174354
90.36	333.333330435885
90.6	333.333330435885
90.84	666.666660871771
90.96	2999.99997392297
91.08	3333.33330435885
91.2	666.666660871771
91.44	333.333330435885
91.56	999.999991307656
91.68	666.666660871771
91.92	333.333330435885
92.04	333.333330435885
92.4	333.333330435885
93.48	666.666660871771
96.36	666.666660871771
96.48	333.333330435885
96.6	333.333330435885
96.72	333.333330435885
96.84	4666.66662610239
96.96	6333.33327828182
97.08	1333.33332174354
97.2	999.999991307656
99.84	999.999991307656
99.96	999.999991307656
100.8	666.666660871771
100.92	666.666660871771
101.04	333.333330435885
102.84	333.333330435885
114.12	666.666660871771
114.24	666.666660871771
114.36	999.999991307656
114.48	2333.3333130512
114.6	8333.33326089713
114.72	22666.6664696402
114.84	59666.6661480235
114.96	80999.9992959201
115.08	36333.3330175115
115.2	24333.3331218196
115.32	14333.3332087431
115.44	6999.99993915359
115.56	8333.33326089713
115.68	7333.33326958948
115.8	12333.3332261278
115.92	17333.333182666
116.04	48999.9995740751
116.16	16333.3331913584
116.28	3999.99996523062
116.4	1666.66665217943
116.52	999.999991307656
116.64	666.666660871771
116.76	333.333330435885
116.88	999.999991307656
117.48	333.333330435885
117.84	333.333330435885
118.2	333.333330435885
119.04	333.333330435885
119.88	666.666660871771
120.6	666.666660871771
121.08	333.333330435885
121.44	666.666660871771
132.36	666.666660871771
132.48	1333.33332174354
132.6	2333.3333130512
132.72	11999.9998956919
132.84	25666.6664435632
132.96	76333.3326698177
133.08	65666.6660958694
133.2	33666.6663740244
133.32	12666.6665565636
133.44	4999.99995653828
133.56	1333.33332174354
133.68	1333.33332174354
133.8	3333.33330435885
133.92	1666.66665217943
134.16	333.333330435885
134.52	333.333330435885
135.84	333.333330435885
136.44	666.666660871771
