Mass/Charge	Intensity
58.2	333.333330435885
58.68	999.999991307656
58.8	666.666660871771
58.92	666.666660871771
59.04	333.333330435885
74.88	666.666660871771
75.48	666.666660871771
75.72	666.666660871771
75.96	2666.66664348708
76.08	333.333330435885
80.88	333.333330435885
82.2	333.333330435885
84.24	333.333330435885
85.92	333.333330435885
86.04	999.999991307656
87	999.999991307656
87.24	333.333330435885
87.72	333.333330435885
87.96	333.333330435885
90	333.333330435885
100.68	333.333330435885
100.8	333.333330435885
103.92	333.333330435885
104.04	333.333330435885
104.88	1666.66665217943
105	7999.99993046125
105.12	6999.99993915359
105.24	999.999991307656
105.84	1333.33332174354
105.96	1666.66665217943
106.08	5333.33328697417
106.2	1666.66665217943
106.32	666.666660871771
106.56	333.333330435885
107.04	666.666660871771
107.16	333.333330435885
108	333.333330435885
120.24	666.666660871771
122.28	333.333330435885
129.84	666.666660871771
131.64	333.333330435885
131.88	666.666660871771
132	2333.3333130512
132.12	10666.6665739483
132.24	5333.33328697417
132.36	1999.99998261531
132.48	666.666660871771
134.4	666.666660871771
135.12	333.333330435885
150	1999.99998261531
150.12	6999.99993915359
150.24	4333.33329566651
