Mass/Charge	Intensity
56.64	333.333330435885
57.84	333.333330435885
59.76	1666.66665217943
59.88	333.333330435885
60	333.333330435885
68.88	333.333330435885
70.2	333.333330435885
70.56	666.666660871771
70.92	333.333330435885
71.04	333.333330435885
71.76	333.333330435885
73.68	333.333330435885
73.92	2666.66664348708
74.04	333.333330435885
74.16	333.333330435885
74.76	333.333330435885
85.92	333.333330435885
86.76	999.999991307656
86.88	333.333330435885
87.12	333.333330435885
87.72	666.666660871771
87.84	666.666660871771
87.96	1333.33332174354
88.08	1666.66665217943
88.2	666.666660871771
88.44	333.333330435885
88.68	999.999991307656
88.8	3333.33330435885
88.92	12666.6665565636
89.04	12666.6665565636
89.16	4666.66662610239
89.28	1666.66665217943
89.64	333.333330435885
89.76	333.333330435885
91.56	666.666660871771
100.68	999.999991307656
100.8	1666.66665217943
100.92	2666.66664348708
101.04	666.666660871771
101.88	999.999991307656
103.68	333.333330435885
117.6	1999.99998261531
117.72	666.666660871771
117.84	1333.33332174354
117.96	5333.33328697417
118.08	8333.33326089713
118.2	2666.66664348708
118.32	333.333330435885
125.28	333.333330435885
