Mass/Charge	Intensity
58.8	333.333330435885
61.56	666.666660871771
61.68	2999.99997392297
61.8	1333.33332174354
61.92	666.666660871771
62.04	1333.33332174354
63.84	333.333330435885
70.68	999.999991307656
76.32	333.333330435885
76.68	333.333330435885
78.48	333.333330435885
78.6	333.333330435885
78.72	666.666660871771
78.84	4999.99995653828
78.96	2666.66664348708
79.08	333.333330435885
79.8	333.333330435885
80.64	333.333330435885
87	333.333330435885
88.44	333.333330435885
96.48	666.666660871771
96.84	999.999991307656
96.96	1333.33332174354
97.08	666.666660871771
97.56	333.333330435885
99	333.333330435885
111.96	666.666660871771
113.16	666.666660871771
115.08	333.333330435885
117	333.333330435885
132.96	333.333330435885
134.16	333.333330435885
137.04	666.666660871771
139.2	666.666660871771
140.04	333.333330435885
143.88	333.333330435885
144.96	333.333330435885
145.08	333.333330435885
145.2	666.666660871771
147	333.333330435885
149.76	333.333330435885
150.96	666.666660871771
152.28	333.333330435885
156.96	666.666660871771
157.08	999.999991307656
158.28	666.666660871771
159.12	333.333330435885
161.16	333.333330435885
162.48	333.333330435885
165	333.333330435885
166.44	333.333330435885
167.16	666.666660871771
167.4	333.333330435885
173.04	333.333330435885
183.12	333.333330435885
189.12	666.666660871771
195.12	333.333330435885
198.96	1333.33332174354
199.08	999.999991307656
201.12	333.333330435885
203.4	333.333330435885
205.08	666.666660871771
209.04	333.333330435885
209.16	333.333330435885
210.96	333.333330435885
211.08	1666.66665217943
211.32	333.333330435885
212.16	333.333330435885
215.04	666.666660871771
219.36	333.333330435885
221.04	333.333330435885
225.24	333.333330435885
226.2	333.333330435885
227.4	333.333330435885
228.36	666.666660871771
229.32	333.333330435885
232.44	333.333330435885
237.12	333.333330435885
243	2333.3333130512
243.12	666.666660871771
243.24	333.333330435885
243.36	333.333330435885
246	333.333330435885
249.24	333.333330435885
251.28	333.333330435885
251.4	333.333330435885
258.96	666.666660871771
260.52	333.333330435885
260.88	666.666660871771
261	666.666660871771
261.24	666.666660871771
262.92	333.333330435885
264.36	333.333330435885
265.92	666.666660871771
281.04	333.333330435885
281.16	333.333330435885
281.28	666.666660871771
282	666.666660871771
282.12	666.666660871771
310.08	666.666660871771
324.84	666.666660871771
324.96	2333.3333130512
325.08	4666.66662610239
325.2	10333.3332435124
325.32	2666.66664348708
325.44	3999.99996523062
325.56	1999.99998261531
325.68	333.333330435885
325.92	1333.33332174354
