Mass/Charge	Intensity
58.56	17859.7026225351
58.8	17859.7026225351
59.88	53579.1078676053
60.84	17859.7026225351
68.88	35719.4052450702
70.68	17859.7026225351
70.8	17859.7026225351
70.92	17859.7026225351
71.16	53579.1078676053
71.28	17859.7026225351
71.52	17859.7026225351
71.64	17859.7026225351
71.76	17859.7026225351
71.88	35719.4052450702
72	35719.4052450702
72.24	35719.4052450702
72.84	17859.7026225351
73.44	17859.7026225351
76.92	17859.7026225351
78.48	35719.4052450702
78.84	232176.134092956
78.96	89298.5131126755
79.08	89298.5131126755
79.44	17859.7026225351
80.76	17859.7026225351
84.36	17859.7026225351
84.96	35719.4052450702
85.44	17859.7026225351
85.56	35719.4052450702
85.8	53579.1078676053
85.92	464352.268185913
86.04	500071.673430983
86.16	250035.836715491
86.28	107158.215735211
86.4	107158.215735211
86.52	232176.134092956
86.64	107158.215735211
86.76	642949.294411264
86.88	1143020.96784225
87	2375340.44879717
87.12	1500215.02029295
87.24	232176.134092956
87.36	214316.431470421
87.48	53579.1078676053
87.6	17859.7026225351
87.72	53579.1078676053
87.84	160737.323602816
87.96	178597.026225351
88.08	89298.5131126755
88.2	17859.7026225351
88.32	17859.7026225351
88.44	17859.7026225351
88.56	17859.7026225351
88.8	71438.8104901404
88.92	89298.5131126755
89.04	178597.026225351
89.64	35719.4052450702
90	17859.7026225351
90.84	35719.4052450702
91.08	17859.7026225351
100.92	17859.7026225351
101.04	17859.7026225351
105.12	35719.4052450702
113.28	17859.7026225351
113.52	35719.4052450702
113.64	17859.7026225351
113.76	35719.4052450702
113.88	71438.8104901404
114	339334.349828167
114.12	517931.376053518
114.24	232176.134092956
114.36	53579.1078676053
114.48	35719.4052450702
114.6	89298.5131126755
114.72	160737.323602816
114.84	500071.673430983
114.96	1393056.80455774
115.08	3375483.79565913
115.2	2089585.20683661
115.32	607229.889166193
115.44	214316.431470421
115.56	89298.5131126755
115.68	214316.431470421
115.8	232176.134092956
115.92	982283.644239431
116.04	2393200.1514197
116.16	1768110.55963097
116.28	357194.052450702
116.4	142877.620980281
116.52	160737.323602816
116.64	53579.1078676053
116.76	142877.620980281
116.88	732247.807523939
117	1518074.72291548
117.12	2536077.77239998
117.24	964423.941616895
117.36	232176.134092956
117.48	35719.4052450702
117.72	89298.5131126755
117.84	35719.4052450702
117.96	35719.4052450702
118.2	17859.7026225351
118.32	35719.4052450702
118.92	17859.7026225351
120.12	17859.7026225351
120.24	17859.7026225351
122.04	17859.7026225351
129.12	17859.7026225351
130.68	17859.7026225351
130.92	53579.1078676053
131.04	160737.323602816
131.16	250035.836715491
131.28	35719.4052450702
132	107158.215735211
132.12	250035.836715491
132.24	160737.323602816
132.84	17859.7026225351
132.96	107158.215735211
133.08	785826.915391544
133.2	803686.61801408
133.32	232176.134092956
133.44	53579.1078676053
133.56	17859.7026225351
133.68	17859.7026225351
133.92	17859.7026225351
134.88	17859.7026225351
135	17859.7026225351
149.16	35719.4052450702
158.88	53579.1078676053
159	214316.431470421
159.12	785826.915391544
159.24	625089.591788728
159.36	89298.5131126755
159.48	35719.4052450702
159.6	17859.7026225351
159.96	35719.4052450702
176.64	53579.1078676053
176.76	53579.1078676053
176.88	910844.83374929
177	2446779.25928731
177.12	3589800.22712956
177.24	2232462.82781689
177.36	1125161.26521971
177.48	160737.323602816
177.6	142877.620980281
177.72	125017.918357746
177.84	89298.5131126755
177.96	35719.4052450702
178.2	17859.7026225351
178.32	17859.7026225351
179.4	53579.1078676053
180.12	17859.7026225351
185.76	17859.7026225351
