Mass/Charge	Intensity
69.72	382.326385565576
69.96	1911.63192782788
70.08	382.326385565576
70.32	764.652771131153
70.44	764.652771131153
70.56	1911.63192782788
70.68	3440.93747009019
70.8	5352.56939791807
70.92	7264.20132574595
71.04	4587.91662678692
71.16	382.326385565576
71.4	764.652771131153
71.52	764.652771131153
71.88	1911.63192782788
72	1529.30554226231
72.12	382.326385565576
83.28	382.326385565576
84	764.652771131153
84.84	1146.97915669673
85.68	764.652771131153
85.92	764.652771131153
87.48	2676.28469895904
87.6	6499.5485546148
87.72	17204.6873504509
87.84	25615.8678328936
87.96	52378.714822484
88.08	18733.9928927132
88.2	1911.63192782788
88.32	764.652771131153
88.44	382.326385565576
88.56	764.652771131153
88.68	382.326385565576
90.72	382.326385565576
92.52	764.652771131153
96.6	764.652771131153
97.56	382.326385565576
97.68	382.326385565576
98.04	764.652771131153
98.16	382.326385565576
99.36	764.652771131153
99.48	382.326385565576
99.6	1911.63192782788
99.72	1529.30554226231
99.84	8411.18048244268
99.96	8028.85409687711
100.08	1911.63192782788
100.2	382.326385565576
100.32	764.652771131153
100.68	382.326385565576
102	382.326385565576
103.08	382.326385565576
113.76	382.326385565576
114	1529.30554226231
114.12	1146.97915669673
114.24	382.326385565576
114.36	764.652771131153
114.72	382.326385565576
114.84	2293.95831339346
114.96	4970.24301235249
115.08	7264.20132574595
115.2	4205.59024122134
115.44	382.326385565576
115.8	382.326385565576
117	382.326385565576
131.52	764.652771131153
131.64	382.326385565576
131.76	1529.30554226231
131.88	764.652771131153
132	15293.0554226231
132.12	27527.4997607215
132.24	6499.5485546148
132.36	1529.30554226231
132.48	764.652771131153
132.6	382.326385565576
132.72	1146.97915669673
133.68	1146.97915669673
