Mass/Charge	Intensity
57	999.930546863815
58.8	1999.86109372763
58.92	6999.51382804671
59.04	1999.86109372763
61.32	999.930546863815
64.92	999.930546863815
68.76	4999.65273431908
69	999.930546863815
70.8	1999.86109372763
72	999.930546863815
72.84	1999.86109372763
72.96	2999.79164059145
79.92	999.930546863815
80.76	1999.86109372763
84.96	999.930546863815
87	999.930546863815
87.36	999.930546863815
87.48	999.930546863815
87.96	999.930546863815
88.8	999.930546863815
88.92	2999.79164059145
89.04	1999.86109372763
90.84	1999.86109372763
90.96	11999.1665623658
91.08	4999.65273431908
91.2	999.930546863815
91.56	999.930546863815
91.92	999.930546863815
96	999.930546863815
100.8	999.930546863815
101.04	999.930546863815
102	1999.86109372763
102.84	8999.37492177434
102.96	2999.79164059145
115.08	3999.72218745526
116.88	999.930546863815
117	2999.79164059145
117.12	1999.86109372763
117.24	3999.72218745526
118.68	5999.58328118289
118.8	2999.79164059145
118.92	34997.5691402335
119.04	76994.6521085138
119.16	24998.2636715954
119.28	4999.65273431908
119.52	999.930546863815
119.64	999.930546863815
131.88	2999.79164059145
132	999.930546863815
132.12	4999.65273431908
133.56	999.930546863815
134.76	999.930546863815
135.12	1999.86109372763
144.96	999.930546863815
145.92	999.930546863815
148.2	1999.86109372763
152.64	999.930546863815
162.84	999.930546863815
162.96	1999.86109372763
163.08	3999.72218745526
163.2	14998.9582029572
163.32	7999.44437491052
163.44	2999.79164059145
163.56	1999.86109372763
221.16	999.930546863815
