Mass/Charge	Intensity
58.08	2235.13886946029
59.04	2235.13886946029
67.8	4470.27773892058
67.92	4470.27773892058
68.04	2235.13886946029
69.36	2235.13886946029
69.96	4470.27773892058
72.84	4470.27773892058
74.04	4470.27773892058
74.76	6705.41660838088
79.68	2235.13886946029
79.92	2235.13886946029
80.64	4470.27773892058
84.48	4470.27773892058
84.84	13410.8332167618
84.96	20116.2498251426
85.08	4470.27773892058
85.68	6705.41660838088
85.8	15645.972086222
85.92	62583.8883448882
86.04	73759.5826921897
86.16	4470.27773892058
86.28	4470.27773892058
86.52	2235.13886946029
86.64	2235.13886946029
86.76	6705.41660838088
86.88	22351.3886946029
87	35762.2219113647
87.12	11175.6943473015
87.24	4470.27773892058
87.36	2235.13886946029
87.48	8940.55547784117
87.6	2235.13886946029
87.84	15645.972086222
87.96	33527.0830419044
88.08	29056.8053029838
88.2	11175.6943473015
100.8	4470.27773892058
102.84	11175.6943473015
102.96	20116.2498251426
103.08	4470.27773892058
103.32	4470.27773892058
103.44	2235.13886946029
104.04	15645.972086222
104.52	2235.13886946029
105	2235.13886946029
109.2	2235.13886946029
110.64	4470.27773892058
110.76	4470.27773892058
110.88	8940.55547784117
111	26821.6664335235
111.12	13410.8332167618
111.24	2235.13886946029
111.36	6705.41660838088
111.48	8940.55547784117
111.6	6705.41660838088
111.72	24586.5275640632
111.84	51408.1939975867
111.96	205632.775990347
112.08	350916.802505266
112.2	84935.2770394911
112.32	8940.55547784117
112.44	13410.8332167618
112.56	2235.13886946029
112.68	6705.41660838088
112.8	6705.41660838088
112.92	6705.41660838088
113.52	2235.13886946029
114	4470.27773892058
116.04	2235.13886946029
116.4	2235.13886946029
118.08	2235.13886946029
120.12	2235.13886946029
120.36	2235.13886946029
121.8	2235.13886946029
122.16	2235.13886946029
128.88	2235.13886946029
129	2235.13886946029
129.84	6705.41660838088
129.96	15645.972086222
130.08	37997.360780825
130.2	17881.1109556823
130.32	2235.13886946029
130.44	2235.13886946029
136.2	4470.27773892058
136.68	2235.13886946029
146.16	2235.13886946029
147.48	2235.13886946029
148.08	2235.13886946029
148.32	4470.27773892058
156	2235.13886946029
156.12	4470.27773892058
173.76	4470.27773892058
173.88	2235.13886946029
174.12	15645.972086222
174.24	4470.27773892058
191.88	17881.1109556823
192	20116.2498251426
192.12	69289.3049532691
192.24	33527.0830419044
192.36	11175.6943473015
192.6	2235.13886946029
192.96	2235.13886946029
193.08	2235.13886946029
