Mass/Charge	Intensity
59.4	352.916663598994
61.68	352.916663598994
61.8	352.916663598994
61.92	352.916663598994
62.04	352.916663598994
62.16	1058.74999079698
62.4	352.916663598994
67.56	352.916663598994
68.88	705.833327197987
69.96	352.916663598994
70.56	352.916663598994
70.68	352.916663598994
70.92	705.833327197987
71.64	2470.41664519296
71.88	705.833327197987
72	3176.24997239094
72.84	1764.58331799497
72.96	2823.33330879195
73.08	705.833327197987
73.32	352.916663598994
75.72	352.916663598994
75.96	705.833327197987
77.88	352.916663598994
78.24	352.916663598994
78.36	2117.49998159396
78.48	5999.58328118289
78.6	10940.4165715688
78.72	28586.2497515185
78.84	50819.9995582551
78.96	31762.4997239094
79.08	6705.41660838088
79.2	4940.83329038591
79.44	1764.58331799497
79.56	3176.24997239094
79.8	705.833327197987
79.92	1058.74999079698
80.88	352.916663598994
81.72	1058.74999079698
81.84	352.916663598994
81.96	1764.58331799497
82.08	1411.66665439597
84	352.916663598994
84.96	705.833327197987
85.2	352.916663598994
85.8	1058.74999079698
85.92	705.833327197987
86.04	4234.99996318792
86.16	1058.74999079698
86.28	352.916663598994
86.64	705.833327197987
86.76	705.833327197987
86.88	2117.49998159396
87	3176.24997239094
87.6	352.916663598994
87.72	352.916663598994
87.84	352.916663598994
87.96	1764.58331799497
88.08	705.833327197987
88.56	352.916663598994
88.68	705.833327197987
88.92	705.833327197987
90.6	352.916663598994
90.96	352.916663598994
95.88	352.916663598994
96	705.833327197987
96.84	1058.74999079698
96.96	4940.83329038591
97.08	352.916663598994
97.2	352.916663598994
97.8	705.833327197987
98.04	352.916663598994
98.88	352.916663598994
99.6	352.916663598994
99.84	705.833327197987
99.96	2117.49998159396
100.08	4587.91662678692
100.2	352.916663598994
102	352.916663598994
102.12	1764.58331799497
102.48	352.916663598994
102.84	352.916663598994
108.12	1058.74999079698
108.96	1058.74999079698
109.08	1411.66665439597
109.92	705.833327197987
110.04	352.916663598994
110.16	1764.58331799497
110.28	705.833327197987
111	705.833327197987
111.84	352.916663598994
116.04	705.833327197987
118.08	352.916663598994
126.12	1058.74999079698
126.24	352.916663598994
127.92	352.916663598994
128.16	1411.66665439597
130.2	705.833327197987
134.88	705.833327197987
135	352.916663598994
136.08	352.916663598994
137.28	352.916663598994
144	1058.74999079698
144.12	705.833327197987
153.96	705.833327197987
154.08	705.833327197987
154.2	1764.58331799497
154.32	352.916663598994
155.04	1058.74999079698
170.04	705.833327197987
170.28	352.916663598994
170.64	352.916663598994
171.72	352.916663598994
171.84	352.916663598994
171.96	1764.58331799497
172.08	8117.08326277685
172.2	17645.8331799497
172.32	5646.6666175839
172.44	2823.33330879195
172.56	2470.41664519296
172.8	1058.74999079698
172.92	352.916663598994
173.04	1058.74999079698
