Mass/Charge	Intensity
57.72	1382.25693242939
61.92	2764.51386485878
69	1382.25693242939
69.96	4146.77079728817
71.88	1382.25693242939
72	1382.25693242939
72.84	1382.25693242939
73.92	2764.51386485878
78.24	4146.77079728817
78.36	8293.54159457635
78.48	8293.54159457635
78.6	16587.0831891527
78.72	26262.8817161584
78.84	100904.756067346
78.96	34556.4233107348
79.08	6911.28466214696
79.2	6911.28466214696
79.56	1382.25693242939
80.04	2764.51386485878
80.88	4146.77079728817
81.36	1382.25693242939
81.84	4146.77079728817
83.76	1382.25693242939
85.32	1382.25693242939
86.28	1382.25693242939
86.64	2764.51386485878
87	1382.25693242939
90.12	1382.25693242939
92.88	1382.25693242939
93.96	2764.51386485878
94.08	5529.02772971757
95.88	1382.25693242939
96	9675.79852700574
96.6	1382.25693242939
96.72	4146.77079728817
96.84	23498.3678512997
96.96	20733.8539864409
97.08	22116.1109188703
97.2	4146.77079728817
97.44	2764.51386485878
97.8	2764.51386485878
98.16	2764.51386485878
99	1382.25693242939
99.12	1382.25693242939
99.84	1382.25693242939
99.96	1382.25693242939
100.08	2764.51386485878
101.88	1382.25693242939
102.12	1382.25693242939
102.84	1382.25693242939
105.24	2764.51386485878
105.96	1382.25693242939
106.08	2764.51386485878
108	1382.25693242939
109.32	1382.25693242939
109.8	1382.25693242939
110.04	13822.5693242939
110.16	4146.77079728817
110.4	1382.25693242939
111	1382.25693242939
111.72	1382.25693242939
111.84	2764.51386485878
111.96	2764.51386485878
112.08	16587.0831891527
112.2	2764.51386485878
112.32	6911.28466214696
112.68	1382.25693242939
116.28	1382.25693242939
121.2	4146.77079728817
121.56	1382.25693242939
122.04	2764.51386485878
123	2764.51386485878
123.12	2764.51386485878
123.24	1382.25693242939
124.2	1382.25693242939
124.56	1382.25693242939
125.04	6911.28466214696
125.16	8293.54159457635
126	4146.77079728817
129.12	4146.77079728817
129.24	2764.51386485878
138.12	1382.25693242939
141.12	1382.25693242939
141.84	2764.51386485878
141.96	1382.25693242939
142.08	2764.51386485878
142.2	8293.54159457635
142.32	2764.51386485878
142.44	1382.25693242939
144.12	2764.51386485878
150.12	2764.51386485878
156.24	1382.25693242939
157.2	4146.77079728817
158.16	1382.25693242939
168	4146.77079728817
168.12	9675.79852700574
168.24	2764.51386485878
185.88	2764.51386485878
186	5529.02772971757
186.12	16587.0831891527
186.24	16587.0831891527
186.36	8293.54159457635
186.48	4146.77079728817
186.6	1382.25693242939
186.72	1382.25693242939
